Q19818	Q9VDK5
A8WFL0	Q9GSE0
Q9XZJ4	P40302
P45896	O96660
Q7JW61	P38187
Q22781	Q9VMC6
Q7JNX6	P39104
Q9VU68	P53197
Q7KN61	P08524
Q9VC03	P53204
Q9V9X8	Q03002
Q93968	P25379
Q9W3M7	P21372
G5EGL7	Q9V4A1
Q8I7K5	Q24113
Q9XTG1	P23654
O18214	Q9VYE0
G5EGB9	Q9VM32
Q9NA56	Q9U8L5
A1ZA92	Q07845
Q9U622	P53631
P34335	Q9W391
P41994	Q12189
Q17693	P53128
G5EE18	P31264
Q8MLV1	P32462
B2D6P5	Q9VYL7
P34663	Q03372
Q9TYS1	Q9VHB0
Q9W1M9	P38792
G5EFF1	Q9W255
A7UQ09	O15943
A1Z700	P02567	P32492
P17486	Q9VDF0
Q9Y119	P38427
Q9N5U5	A1Z9G9
Q10663	Q12031
G5EGT6	Q9V769
Q5WRT0	Q8MZH0
O02327	Q7KN79
O18688	P06606
O18229	P50278
Q22757	Q9VNV2
O01738	Q9VTT9
P23128	P23394
Q9VBH7	P46959
Q9VI09	P14306
Q9VED0	P40085
Q20681	Q04652
Q8MT80	Q04174
Q9TYS8	Q9VDY9
Q9VDA0	P53327
P52486	P52491
Q20381	P17971
Q9I7S2	Q04179
Q9VXQ8	Q03441
P12426	P36973
Q9VKV6	P48365
Q9VSN7	Q04225
G5EFS1	Q24241
Q9V595	P32347
Q9VHE5	P87262
Q9VDS6	P36080
Q9V395	P25351
Q45EK2	Q7JR08
Q9XVR6	Q9VL00
O01488	Q9VTY4
Q9NL29	Q9NGV4
P34655	Q07549
Q9VNA3	P47190
Q9W5B6	Q12093
Q9VAQ5	P41819
Q9XWD6	Q9V5N8
O16254	Q7JXE4
Q09252	Q9VYE3
Q9W409	P54785
Q9XVD1	Q9VHE0
Q9VDC6	P07702
G5EBZ4	Q9W1A8	P43610
G5EFX6	P10040
Q7KN94	Q12480
Q0E8F2	P39953
Q9VI63	Q12311
Q9VRR2	P40528
Q23493	Q9VFP6
Q9NEY7	P39724
Q9W3Y0	Q08004
P34317	Q9VGT3
Q9VD55	Q00873
P56079	P38221
Q8MLW2	Q08773
K8F7T2	Q867Z4
Q19306	Q8T9N4
G5EEP2	P42003
Q0E8X6	P14741
Q22910	P09081
Q9XW13	Q9VR35
Q7KK97	P53142
G5ECT9	Q8IQG1	P43563
O16785	Q9VWD0
O61789	Q0KI81
P91563	Q9VH62
A1Z933	P53082
F3Y5P4	Q9VZT7
Q7JUZ6	P53940
Q7K4N3	P34160
O01960	Q960Q9
Q9VX10	P36077
Q9VXR1	P42844
Q95TU3	P38112
O01961	Q9VJP2
G5EG39	Q9W1Q0
Q7JQW6	P32875
Q19816	Q9W5E8
Q8SZA8	Q12184
Q17424	P54399
Q9VAN0	P33330
O01964	Q94981
B7WNA2	Q9VHM6
O61460	Q09147
Q23119	Q9VMM8
Q9VVP4	P23254
Q10453	Q9V6Q2
P34378	Q7JVK1
Q18694	Q9W4Q1
O76417	P14242
O18397	P38713
O01634	Q9V427
P34460	Q9VL18-2
Q9VQ04	P40106
Q23646	Q8IQ13
Q8SYP9	P33759
G5EEQ3	Q9VZW1
P43248	P25846
G5EFA5	O61543
Q9NA98	P53501	Q12406
Q9W2P5	Q06406
O97183	P16370
P41879	Q9VZF1
Q967F4	P33450
P48612	P33309
Q93246	Q9VFK4
Q18782	Q05580
Q9VT04	P50944
P90925	P18459-2
Q9VPM1	P53720
O17234	A1ZB71
A1ZAR2	Q03289
P48158	P48159
G5EDT6	Q9NIV1
Q9VC93	P24276
Q8MXV7	Q9TVI0
Q9VEF5	Q08465
Q9VMD2	Q12239
P04197	P22035
Q27519	P82711
Q19416	Q94524
Q09296	Q9VY99
O02158	Q9VW68	P17649
Q9U299	Q9VWI1	Q02792
G5ECQ2	P18537
G5EBY0	Q9V3X3
Q9VIH1	P26754
Q10941	Q9VMG1
P19826	O46037
Q9Y128	Q12451
P92004	Q8MS22
Q9W2K2	P47017
Q9VUH9	P30771
G5EFE7	Q9VYV5
H2KZG6	Q5U117
Q94519	P32463
Q7K204	P53830
Q9XWS2	Q9VNH6
Q18937	Q9VSH4
Q9N4F2	Q9VVL6
Q18529	Q9VRL7
Q9XUP3	Q9W2D9
G5EBK3	Q9V3V3
Q965X6	Q9VZV5
G5EDY0	Q9VXG8	P38111
Q22620	P38708
Q9W4R1	Q06512
P40078	G5EFH0	O76994
Q20720	Q9VLK2
Q05036	P02825
Q9W2E4	P47088
Q9BI89	P53129
Q9NAE4	A1ZAC2
Q9VU37	P32584
Q9VPX3	P40991
O16580	Q8IMY3
Q9XW88	P22711
Q9W5R5	Q03944
Q22616	A1Z9S1
Q94398	P22810
P34624	Q9VKF0
P90976	P31007-1
O62265	Q9VAQ9
O17005	Q9V3D0
Q20498	Q9VTU3
O01812	Q9VGM2
Q9VSK9	Q08647
G5EBU4	Q9VDN4
P22980	P22816
Q21187	Q95V55
Q9VP61	P52910
Q8I4A4	Q9VWB0
Q7JWR9	Q12000
Q9XUM8	Q9VGI6
Q9VIF6	P35187
Q9V3P2	P48234
Q9W246	P35194
O16215	Q03558
G5EEK7	P17970
Q9VUC3	P53010
Q9VEA5	P20433
Q9N369	P40344
G5EEZ6	Q9VT65
P91634	P22543
Q24595	P14736
O01864	Q95TR3
Q9VZ94	Q12482
G5EE23	Q27421
O17624	Q9V557
P49808	Q9VXA3
Q8SYZ4	P53686
Q8IAB6	Q9VVU1
Q9U3Q1	Q9VB23
P54780	P91374	O17445
Q9XX00	Q9VW37
Q93576	Q9VH94
Q18932	Q9W316
Q7JQH9	P32796
Q7K3P0	P53852
Q19319	Q24292
Q7KKH3	P53313
Q9VHS8	P45818
O02335	Q9VK46	P53039
Q9U9K0	Q02645-2
Q9VWK5	Q02724
Q9VXX8	P49166
Q9VH69	P41057
Q9GYF1	P36188-3
Q9VUS8	P40105
G5EEI8	Q9VCC0
P34474	Q9V406
Q86RT3	O44117
O61955	Q9VSG1
Q65ZG8	O61734
Q9XUG9	Q24046
Q9W095	P32190
P91875	P10964
Q9VH08	P53687
Q9VM19	P31688
Q9VQL4	P28625
G5EE33	Q8MZE0
Q09232	Q9U6B8
O01803	Q8MT34
O62387	Q9VZC9
Q8INU6	Q08911
H1UBJ9	P13099
O44517	A1Z803
O44411	P39729
O18333	P32836
Q23083	P42951
Q9GYK2	P11584
Q9VHA8	P48353
A1ZA22	P09032
Q7K4B3	P42935
G5EBP4	P46150
O46307	Q06344
P41886	Q9VFP2
O62215	Q9VCI5
Q6NN40	P38340
P50464	Q86P58
Q9VCF4	P35181
P55155	Q9VF24
Q9U290	Q24523
Q22949	Q9Y137
Q9VRP4	Q03941
O62530	Q00776
Q9XYU1	P29469
H2L061	Q9VAA0
Q65XX7	Q9W4V9
Q9VBK7	Q04399
Q7K012	Q12509
P91660	P39109
Q17413	P27515
Q18223	Q9VMV3
G5EC89	P22807
B5QSI6	Q9W1H7
O17982	Q9I7L0
Q9VCN3	P07262
Q19937	P22808
Q9W1H4	P04819
P38137	H2KZ58	Q8SXR7
Q9VMY9	Q07729
P52715	P09620
P48375	P38911
O44857	Q9I7I4
G5EGP4	P32563	Q9XZ10
Q9V3G1	Q9XVF7	P32611
G5EDL0	Q04688
Q22631	Q0E8N3
Q18317	Q9VSR3
G5ECG5	Q9VDW6
O16497	Q9VCL6
Q9VRY5	Q07953
Q09289	Q7K2G1
Q5LJP9	Q04489
Q9VLJ8	G5EBK4	P38862
Q9V9Z0	P32785
Q7YU91	P40061
O17983	Q9VHZ9
P34260	P20795
Q9U2N7	Q9VDC1
O44191	Q9VER6
Q9Y162	Q9BL83	Q07844
Q20577	Q9VGU7
Q9W020	Q06132
Q24087	P06777
Q9VVI1	Q07508
Q9W462	P50102
H2L041	Q8MSU2
Q02334	Q9W4W6
Q9N4I1	Q9VJQ6
O61980	Q9VUQ1
Q9W0P2	P12689
Q86NL1	P53316
Q9VSP9	P31787
Q95XX0	Q8IQM5	P52490
Q9W2H8	Q06625
P32748	P28272
Q86GV3	A1Z7L8
Q04116	Q9N4L2	Q9XZC2
H2KZU7	P18475
Q02330	Q5U110
Q9VQJ0	P53927
Q9VWC6	P39943
Q9Y1A7	P53388
O17754	Q9VRZ3
Q7KU90	Q05785
Q9VYF8	P49017
Q9VPH7	O16520	P12385
Q9W590	P53145
Q9N425	Q8SYG2
G5EE65	Q9VWG1
Q21954	Q9VHE3
Q9VUM0	P25336
Q6I6D4	Q9VR64
Q9XVU2	P20478
G8JY07	Q9V429-2
Q8IMX7	P39722
G5EE86	Q9VL21
O16922	Q9VJ47
O17352	Q9VBR6
Q95R48	P38142
Q95017	Q7KNM2	P50623
Q21944	Q9VZV9
Q4QQA7	Q22573	P22204
Q9VUL1	P38627
Q27521	P34021-2
Q19204	Q9W1J9
Q8I4C7	Q9VIF2
Q22354	Q9VW85
Q9VT75	Q06504
Q8IFW4	Q03835
Q9VLR9	P40986
Q20765	P49866
Q7KK96	P32908
Q9I7H9	P40032
G5EC72	A1ZA47
G5EGP8	Q7JYA0
Q9VDC3	P47064
Q9VM75	P42945
Q9TW45	Q07407	P53104
Q24253	P36000
Q9W0L6	Q08777
Q9VPP5	P53942
Q04636	Q05344
O62444	Q9VWD5
Q9VP06	P53954
Q9I7I7	P06700
G5EFF4	Q9VG72
P91353	Q9VMY1
O76258	Q8MQZ0
Q06561	A1Z7J1
Q24052	Q02895
Q20821	Q9VEA9
Q9VXH4	Q03713
O01590	Q9VSA3
Q9V4C7	P39524
Q21067	Q03427
P34371	Q9W279
Q93354	Q9VPN0
C7FZU3	A1Z7C4
Q05856	P40018
Q8STI6	Q12035
G5EDB8	Q9VFE3	P23968
Q20275	Q9VVQ1
Q09350	Q9VVC8
Q18025	Q9VI21
H2KZZ2	P38165
Q10459	Q9VFX1
P10299	P41043
E2QCS7	Q07950
Q9VNH5	Q12123
G5EFI7	Q9W1A0
G5EBH3	Q9VDW6-2
H2KYH4	Q9VJ55
Q9VGG9	P34243
Q95RC0	Q03503
Q22250	Q7KGH1
G5ED33	Q8T8Q9
Q17902	P92030
Q8IQA7	P21954
Q9V410	P38853
P54397	P20081
Q9TYX4	Q9VZA8
Q9W1M7	P38110
Q7K4I4	P38359
P91988	P36076
Q22459	Q9W4B3
Q21177	Q9VYG2
O46050	P38861
Q9VGK7	Q06706
Q9VK19	P46948
Q24190	Q23356	Q12263
Q9XUY5	Q7JS69
P10567	Q00174
Q93348	Q86NL5
P54353	P22696
O01996	P23758
Q9N5S8	Q9W1B5
Q8I0G5	P32074
Q18036	Q9VJZ4
O16299	Q9VS62
Q86BM8	P12687
Q9VBU9	P35997
Q9N415	Q9VF66
Q9VVV7	Q9N5L0	P33753
Q9VXQ0	P31334
G5EG53	Q7K0G4
Q24239	Q03210
G5EEI9	Q9VDV5
P34334	Q9V9M7	Q12672
Q9VAB0	P38590
P25439	P22082
Q8I4F7	Q9W4X8
Q9VVL8	P46579	P04803
Q9VPW4	P13433
Q22574	Q9W4Y4
Q86S68	Q7JVY2
Q9VJ30	Q12152
P91835	Q86LG1
Q9W4K1	P46682
Q95QI7	Q9TZQ2
Q23449	Q9V436	P32496
Q8T8R1	P53849
P34552	Q12033
Q27473	P22464
O61815	Q8MZI3	P20447
P91276	O76521
Q9W3G0	P38875
O46016	P39768
Q11094	Q9VGJ5
P40796	P33399
Q9VD13	Q07872
Q93714	Q9VWH4	P28241
Q5U0Z2	P38174
Q18590	O16867
P34522	P29617-2
P27476	Q09511	Q8T3X1
Q18426	Q04364
P90977	P09774
Q9VLB7	P32864
Q86S28	Q9VNF6
Q965M4	X2JDH0
Q23012	Q9V7S5-2
Q7PLB8	P39525
Q21758	Q8MT78
G5EDJ0	Q05192
Q95QG4	Q9W475
D0IMZ5	M9MRD4
Q20611	P53045
O01519	Q01842
Q9V3F8	P32263
Q19724	Q9VMU0
Q9XWI6	P06103
Q17381	Q02360
Q18501	Q7K115
Q5WRR6	Q8SX30
Q19076	Q9VAD0
O18302	Q9W2L2
Q9W1A2	Q02197
Q06096	Q95XZ0	Q95TN4
P50887	P05749
O45539	O18645	P22517
Q8ITV6	Q9VKK1
P29547	P54412	Q9NJH0
P91302	Q6Q546
V6CJ04	P16568
Q9U289	O77051
P34496	P54622
Q22070	P25455	P32383
Q9VUR1	Q02939
O45087	Q9W5W4
Q9VM69	P49704
P84051	P04911
Q22554	Q9W4J6
Q22347	Q9VGC2
O01839	Q8MSY4
Q9W334	P0C0X0
Q22054	Q8SXF0
Q19617	Q8IQH0
G5EDI2	Q7KTP4
Q9XYZ2	P06839
Q9VRV7	Q06106
G5EEG9	P11420
Q8INF2	P53230
Q966M5	Q9XZT1
P34326	Q06453
Q9VLN1	P36104
Q00637	P00447
P40320	Q27522	P19358
Q7KK90	Q12390
O44452	O18394
Q9VQ37	P38921
Q9N580	Q9U6M0
G5EDB9	P26675
G5EC36	Q9VTW5
O16271	Q7JR72
Q27482	Q9VWR5
Q9VZS1	P38089
Q8MZC0	Q08387
G5EE68	Q9W1T4
Q17490	Q9VT59	Q02979
Q18616	Q9VCD8	P38989
Q9VCU5	P53742
Q9U2D9	Q9VFC8	P27472
P04657	P00044
Q9VE30	P40347
Q9VGW6	P24279
Q9Y123	P38206
Q9W5Q1	Q07930
Q9W261	P53064
G5EEG8	Q9V8R9
Q7PLT4	P39515
Q9N373	Q9VP20
Q9NLC2	P09077
O01541	P40825
Q9V9Z3	P18900
A1Z892	P34760
O02043	Q9VML9
Q9VD58	P40495
Q9VYY3	P52488
Q9XXI0	Q0E8K8
A1Z7F2	P53341
Q93380	Q9W502
Q86S66	Q94518	P38879
Q95S37	P06838
Q9VRJ9	P43558
Q9VHW4	P51534
Q9V466	P52891
Q09479	Q9VYG7
Q76NQ9	P38150
G5EBK0	P47170
Q9VVU6	P19735
O76896	Q04651
Q9U3E2	O18353
O02073	Q9VST0
Q9VBC5	P53845
Q95YE2	Q9W135
P32914	Q9TZ93	Q9TVQ5
Q9N517	Q9VL79
O62349	Q9VG73
Q00449	P0CE68
O17239	Q9VFW6
P34652	Q9U916	P27825
Q9VDL1	Q05015
Q9VLS5	P32609
P34576	Q95SN5
Q9VPJ7	P33302
Q24117	Q21557	Q02647
O01616	Q9VGT2
Q9V3T1	Q04149
Q18273	P10181
Q9BL68	Q8MZI0
Q9VE50	P38736
Q9N4K0	Q9W1B2
Q8MRL3	Q02785
Q9N3F2	Q9VHV3
Q9VTL5	Q12196
Q7JUN3	P41909
Q9VNW6	P54885
B1Q249	Q7JR34
Q09961	Q9Y0A7
O45946	Q9VS34
Q19555	P40541
Q21436	Q8MSV6
Q23158	Q9VZQ3
Q9VJE4	P38902
P53199	Q09491	Q9VVE3
Q9XUT0	Q9VU84
Q8ITW4	Q9VFD3
Q8SXQ1	P07275
Q9VIW3	P11745
Q9VJZ7	P35178
Q19981	P11046
Q21285	O96553	P07245
O96692	P53879
Q9N4K2	Q9VRD9	P32582
Q9VTL1	Q08231
P08985	Q12692
Q9N4L8	Q9VWI0
Q9V3C0	P53166
O76511	P06785
P34367	Q00963
D9PTP5	Q9VLQ9
P42325	Q06389
Q9U1X8	Q2MGL3
P40797	P25342
Q8IPJ4	Q04121
Q9VHB2	P38857
Q23639	Q5BI50
Q18786	Q9VI10	Q06217
Q9U1W5	Q01820
Q94546	P38439
Q9VRJ6	P53323
Q21418	Q868Z9
Q9VNP5	Q06218
Q19294	P16522
Q9VL11	P53212
Q17392	Q9V475
P91307	Q9VYN8
Q19854	Q9VC54
Q20845	Q9NBK5
Q9VEM0	P47058
Q9U3T4	P38766
Q9XVN4	Q04787
Q9N358	Q9VK69	P39076
Q9XVD5	Q9VST2
Q9XTQ7	Q9V3A4
Q9N2X7	Q9VZE2
Q9VC07	P53632
Q9VMD3	P53944
Q22170	Q9V3A8
Q9U3F4	A1ZAT5
G5EDN8	Q8WS23
A0FLQ8	Q8MLW7
Q9N5S3	Q4V6Y7
G5EF96	Q9VZZ4
P91057	Q24576
G5EG65	Q0E9B5
Q24212	Q99186
Q9W4N6	P38986
Q8I103	Q9VHK1
Q19293	Q9VXD6
Q9NB72	P29056
Q9GYI0	Q9VHH9	P40034
Q8MQ52	Q9VL73
Q4QQ12	P46972
Q9VQD8	P40518
Q7JUS9	P40556
P07487	P17329	P00358
Q9VRQ2	Q8T870	P40958
H2KY91	Q24027
Q9VD72	Q12483
Q9VPY2	Q05946
Q9VI82	Q07896
Q9VJ19	Q9XWS4	YGL030W
Q9Y0Y2	P80210
Q9W326	P53119
Q9VRQ1	Q9U3I7	P18562
Q9V7P1	P40362
Q9VHB5	P22213
Q9VXV2	P40483
Q9W3J5	Q9GYS8	P15625
Q7JZ37	P53962
Q7K3K5	P32798
P46577	Q9V3R3	Q08726
Q5U160	P42842
Q9N350	P22979
Q9VZM5	P30777
Q18948	Q9VUH7
O01532	Q9VEK4	P07267
Q9V668	P35179
Q9VI70	Q06543
P35421	P38972
Q21227	Q9VAS9
Q17720	Q9VQ00
O44437	P43321
P27420	Q9BIS2	P16474
O44757	Q8MT36
Q9VXA5	Q9N5V4	Q05902
Q9VGD6	P29340
Q9VZF4	Q9N4H7	Q12220
Q21065	P08928
Q9VL65	Q17692	P36047
Q17971	P43583
H2KZA6	Q9VMY3
Q21281	P24014
P55841	P38754
Q9VK06	Q12674
Q8HJ11	Q9VJ03
Q9BL03	Q9W125
O17144	P37366
Q7KNF5	Q04195
G5EFT5	P20134
G5EGG0	Q9W3N6
Q20027	P38992
O45865	Q9Y166	Q12289
Q8SZ16	Q04401
Q10667	Q94901
P37276	P36022
G5EGC9	Q9W4Q0
G5ECX8	Q9VRY6
Q19312	Q9VJQ0
P47821	P34424	Q9W526
G5ECF0	Q8MQW8
Q21318	Q9VT88
Q18081	Q9VJ45
Q9VPY9	P14906
Q9V434	P04802
Q9Y134	P35207
Q20551	Q9V490
Q9BKZ8	Q24143
B4E3X6	Q9VTW0	Q12074
Q9VTZ1	P35177
P33750	O16519	Q9V9V0
Q22716	P04359
O96838	P53191
Q02793	Q9XZ19
Q22798	Q9V444
Q9V3U2	P17076
O02286	Q7JXB5
Q8MPT2	Q9N9Z9
Q18750	Q8MR31
P08630	P39009
Q9VHK6	Q12056
Q9VKS9	Q07804
Q9XXI4	Q8T0P7
Q8SZ87	Q06819
Q0IGS1	G5EDU6	P53243
Q24320	P20435
Q7JUN9	P34220
Q9XUN9	P36188
Q20660	P02515
Q06580	O76670	P62152
Q9VVU2	P53221
Q9W0N6	Q04338
O17917	P53769
P47145	H2KY93	Q86B55
G5EC16	Q9VV74
Q17541	Q9W2F4
O01761	A8JNC7	P04050
Q19848	Q7KMI3
Q86NB8	Q960V3
P15646	Q22053	Q9VG21
P26308	P18851
P39744	O17580	Q9VIF0
Q9W0D7	Q05568
P91001	Q12468
Q9XVJ5	Q9V4C6
P91182	Q9VTB3
P27619-2	Q9U9I9	P21576
P91493	Q9VUJ3
P23645	P43549
Q9W3M6	P35196
Q9VAJ1	Q06156
A1Z7K8	P46672
P20480	O45935	P27895
Q9VVA1	P38317
Q9VZU2	P53154
Q9U1W4	O96378
O62482	A1Z870
P40048	Q20402	Q9W4F5
Q9W1T1	P56628
Q9VJI7	Q23543	P53905
Q9VV82	P40069
Q9GRZ0	Q9XZ57
O62236	Q86P91	P32854
Q8MQE6	Q9VAT0
Q9VM04	Q06409
Q7K126	G5EFX8	Q12514
Q9VX09	Q12386
Q22505	P91928
O46339	Q9N5D6	P53147
Q09417	Q9V3C5
P21541	Q9W0E8
U4PAZ9	A1ZAU8
Q9Y148	P14922
Q9Y0Z0	P43123
Q24558	P26793
Q9VXG6	Q12697
O45293	Q8MRC9
Q27504	Q9W2Q2
P25807	Q95029
Q9XWM2	Q9VPT7
Q86D10	Q9VDH1
P24893	Q9ZZX1
Q9N4A9	Q7JW73
Q18195	Q9VMQ7
Q9N4F3	O77290	P27351
Q9V3N8	P53215
O01446	P20153
Q9U1W2	A1ZBT5
Q26454	P29496
P90920	Q9VDD5
O18338	P32835
O62246	Q9Y0Y5
Q9VR89	Q99216
Q0PJA9	Q9VBY7
G5EDD1	Q9VFF0	P07257
P53309	Q9XZI6	Q9VI75
Q9V3D6	Q12102
G5ECC0	P46867
O45687	P39714
Q08109	Q20798	Q95SP2
Q8I0P7	Q9I7S6
P50432	Q9W457	P37291
Q9W329	Q06336
Q9VKV4	P43124
G5ECY0	Q8MR96
P34690	P53378	P06603
O01504	P05319
Q8MLP3	Q04119
P34559	Q9W0M0	Q08558
P10984	Q9VWE8	P80428
Q22747	A1ZBL2
P16371	O02482	P36130
Q58AU8	P00522
Q7JWW5	P53088
Q7PL76	P38959
Q17782	Q9VZU6
P34660	Q7K036
Q95XM4	Q9VHN1
Q9VK14	P21242
Q09287	Q7JUX9
Q18477	Q9VYF3	P32561
P91632	P38151
Q9XWP6	Q7K4C2
P51123	P46677
O17432	Q8MQ70	P47116
P51406	P38333
Q21004	Q7KLE5	P25343
Q9W252	P12753
O61975	P25625
Q20005	Q8SYD9
O01767	Q9W0G1
P20825	Q99315
Q961D3	P32386
Q86DA5	Q6IDD9
Q9VTD4	G5EGN2	P21147
Q94129	Q02936
Q20628	Q9VLR3
Q9VJZ6	Q9XTU9	P32642
Q20563	P49906	Q04226
P13368	G5EDL3	P15442
P30629	Q9W3A7
P42207	Q04921
Q8MNT9	Q9VL81
Q9VKJ6	P13586
Q09497	Q24591
Q22045	P01119
Q95YH6	Q12100
G5EDY3	Q9VWC3
Q9VYI5	P18408
Q18257	Q9VHW6
Q9VRQ7	P24482
Q9W3C1	P53914
Q95S19	O17759	P33315
Q9VPX5	P38759
Q9V7N5-2	P31412
Q9VN44	P32337
G5EDF6	Q9VMC0
O76689	Q8IRU1
Q9VMA2	P08431
P52713	Q7JR61	P54114
Q9VZU7	P40453
Q9VFJ3	P53920
P52874	Q08685
Q08548	O01925	Q6NN55
A0SQM0	Q9VHA0
Q9VGV8	Q11183	Q04004
Q9VCQ8	P27614
Q9VA17	Q10666	P25042
Q21993	Q9VCZ8	Q04493
Q93646	Q8SX22
O44738	Q9VYT6	Q12450
Q19403	Q8IGV3	Q05521
Q93971	A8DYE2
P48603	P34686	P13517
P41935	Q24255
Q9VIH0	P31378
Q9VSC6	Q9XVT1	P38336
O17905	Q9VFU8
Q9TYX1	Q9VC20	P33894
O44158	Q9VN88
A1Z7E8	P38158
O44480	P41093
Q95ZV7	Q0KIF4
O17839	Q9W2M8
Q9VQ40	Q12339
Q09509	Q12676
Q18610	A1Z7Q7	Q02891
G5EF02	Q7YU08
Q9GYM9	Q9VZ49
