Q86BS6-3	Q08641
Q6ULP2	Q9GUI5
Q15785	Q9V3W1
Q96HZ4	Q01070
Q6FGT0	P23900
O43822	Q9VZI4
Q15306	Q64287
Q92574	Q9VCC9
Q03936	O44122
Q9Y2P5	Q8SXR7
O43572	O88845
Q5QJ74	P39937
Q99717	P45897
Q69YN2	P53255
Q494U1	Q8C886
Q5QP82	P90794
Q9P0J0	Q9ERS2
A0A0G2JJX2	Q99PJ2
O75145	Q9W263
Q96RN5	Q9Y149
Q86YS7	Q9VC89
V9HW53	Q9VYF0
Q96CW9	Q24567
P50151	P54406
P21589	Q9VZ32
Q3KRA6	P36154
P35247	O17641
Q9VK20	P30775
Q6NXE6	Q7K486
Q9NZV1	G5EF34
Q9V9Z0	P32785
Q8NEC5	Q24270
Q6FG41	O35284
O43791	Q94420
Q9Y5Y0	Q17675
P60983	Q9VJL6
Q07820	Q07440
Q8WXX0	Q9TW74
Q8IWE5	Q9VGI1
P08138	P25118
Q96M27	Q17636
P23276	Q9VAS2
O95049	Q9VKG8
Q9NVM9	Q9VEX5
Q68CK6	Q9VDU1
Q9W3M6	Q03175
Q8N6Q8	Q86NX3
Q8NDH6	Q9VP78
Q9UPU9	Q23972
P52737	Q8T3L3
Q6P9B9	Q9VFS6
Q9H4I8	Q9W045
Q18821	Q5KU26	Q8IRH8
Q9UBD5	Q7K2L1
Q3MIX3	Q06567
P49641	Q8MS44
P26447	P56565
Q13023	E9Q9K8
Q9UPT6	A7LPE4
Q99624	P39981
Q7L592	Q9VGR2
Q9Y3Y4	Q9V9W8
Q8IWZ8	Q9VNC4
Q9NUQ3	Q9VBL3
Q9VHX5	Q21453
Q9BW11	Q8SY46
Q9NVM6	P52868
Q9Y2Z4	P48527
Q9BQ61	Q9I7R7
Q7L0J3	Q10917
O60239	Q9VY16
Q6ZN30	Q9GSZ5
Q92905	Q9V3H2
Q9Y0Y7	Q9NS86	Q9JJK2
Q8N6F1	Q60771
Q03013	Q09607
Q96AY2	A1Z8C0
Q9Y2E8	Q9VPJ1
Q9VYB2	Q12500
Q16342	Q8MZ50
P08514	P12080
P57727	Q9VEM8
Q9Y2U8	Q9XTB5
Q8N5Y2	P50536
Q96EK9	P34253
Q9V3P2	P48234
Q9H2P0	Q6ZQ47
Q9NWY4	Q9VNI3
Q03426	P07277
Q14956	Q99P91
Q9VHK6	Q12056
O75947	A1ZAH1
Q9GZU8	Q7JWU9
P40313	Q9VXC6
Q499Y8	Q0E965
O43674	Q9VTU2
Q658N3	Q9V444	Q22798
Q8IYU4	G5EFF7
Q14165	Q9VIG0
Q14653	P15314
Q96CN9	Q9VGR1
Q9UBG0	Q9XX56
Q9BRJ2	Q9VCX3
Q9NVC3	Q7KTI1
Q03188	P49452
Q9Y267	Q9VRR0
Q12830	Q8T3Y1
Q92620	Q7K3M5
Q6DKK2	Q8SYD0
P52298	Q08920
P49356	P22007
Q0P5Q0	O97428
P28332	Q04894
Q95RI5	Q21097
O75712	P28230
Q9NX09	Q9VTI8
Q96QC0	Q70HU3
Q04629	Q9VKB1
O43715	O60200
Q4VBR4	O17850
Q9HD34	Q6Q560
O17144	P37366
Q9H0N5	O76454
Q96GM8	Q9NA76
Q5VU21	Q9V426
Q8WUQ7	Q8MRC3
O43734	Q8N7N6
Q68CZ6	Q8QZX2
Q9NQG5	P34281
Q9HCC6	Q9WV93	Q7KM13
Q8IV04	Q95RE0
Q8NBF2	Q9W5T4
P11344	P34269
O15342	Q9VP18
P50583	Q9U2M7
Q9Y4B6	Q9W2F2
Q9BSR4	P22276
A8DYE2	Q93971
Q92797	Q8MSU4
P23528	P45594
P0C0L4	Q9VLZ0
P41043	Q9NAB0	P30115	P09211
P12544	Q9VRS9
Q96K19	Q9XWM0
Q9H1K1	Q03020
Q6GVN4	Q9W0A9
Q6PCD5	Q9VV99
O60662	Q7KQZ4
O60287	Q9VD07
Q9BVK8	Q23483
P17181	P33896
P10768	P40363
Q9UP52	Q08919
Q86YJ7	Q8IGB6
Q53XK0	P22804
Q96BS2	Q9VNF9
Q9QZR5	Q9VEN3	Q15349
Q9NTN9	Q9V4A7
Q8NHV4	Q9VJ57
Q9ULT6	Q8SX35
P13008	Q75MH1	P39939
Q15415	P19018
Q14982	Q7KUK9
P51911	Q23050
Q01955	P08124
Q9BPX3	Q06680
Q9Y2I6	P11929
Q9Y314	Q9VWV8
P05976	Q7K049
Q9Y6A4	Q9VKV8
Q86UL3	Q9W1B5
Q8WY07	Q9VNP7
Q6ZP65	Q8SWR2
Q5T6U8	P52927
Q8N355	P01723
P35555	Q7KTA1
Q8N357	Q9VGF5
Q8WY22	Q8BXV2
P02647	Q00623
P62847	Q9W229
Q6FII1	Q09652
Q3LXA3	P43550
Q9BSU3	Q95RC0	Q03503
Q9W3N6	G5EGG0
Q9H094	B7ZNY0
Q9H5V9	Q9V412
Q9BSD7	Q9VP84
Q7Z5G4	Q9VBF0
Q6RW13	Q9WVK0	Q8IR72
Q96NT3	Q9W4Y0
O14746	Q06163
O60336	H2L0C5
Q8WWZ8	Q9VBN1
Q8WVY7	Q9XZ16
P51162	Q9VGM2	O15540	O01812
Q99715	Q18480
Q9P2W7	Q9VTG7
Q04609	Q08693
Q7KLW6	O44175
P57052	Q9XWV4	Q9VPK4
Q8IVV7	P38263
P08246	Q8SY35
O60519	Q9VL14
Q6DT37	Q9W1B0
Q12800	Q8SY59
Q8N6L1	Q8INQ7
Q8WXI8	Q9VIX1
P06746	P25615
Q6P1M0	Q9W1W0
P55210	Q9XYF4
P11464	Q9VH85
O94811	Q9VV43
Q9NWT6	Q9VU77
Q9W4W6	O01879
Q8INF2	P53230
Q9Y397	Q9VPM2
Q9Y2R9	Q9VKX4
Q9P2J2	Q9V4Y0
Q8TF45	Q9VQY7
O75822	Q7K550
Q9VE50	P38736
Q06678	Q96DV4	P54185
Q7Z4T9	Q9VJC5
Q13936	Q963J0
Q9V3E3	Q22623
Q96D03	Q9VTH4
Q9NPA8	Q9VI60
Q06219	Q9XVV3	A1Z858	P11473
P78381	G5EBK5
Q4V328	Q20298
Q9UII2	Q0E8X8
A7XYQ1	Q95TY2
P53633	Q9UI14	A1Z823
Q6ZSG1	Q9W3V3
Q96K37	P22215
Q9BSF4	Q9W4R8
Q8IQ70	Q9NWR8	Q21121
Q9VFR0	Q9P287	Q06338
Q9BSU1	P34692
Q86V21	Q9VP61
O60869	Q9XZ03
Q9NP59	Q9JHI9
P62491	P51150
P01008	Q9VA48
O76927	P0C0V8
Q9HC78	Q9VD05
Q8IN02	P32469
Q9UBI1	Q9I7W2
Q02952	Q9WTQ5
Q9BRB3	P53306
Q9VDD7	P78383	Q12520
Q9Y4P9	Q9VT31
Q9VEE9	P16661
Q9GZT6	P43557
Q9Y117	Q8N3T1	Q8I136
P15927	Q95Y97
Q9H000	Q9VY21
A0A024R4S4	Q1LZ24
Q8IXM6	Q9VEG9
O96000	Q93831
P63073	Q8T3K5
Q13889	Q12004
P00742	Q9VEM7
Q9VJ47	Q17403
Q9HCB6	Q7K3Y9
Q14147	Q9W1I2
O43313	Q9VZU1
Q6DHZ2	P12849
P42658	Q9VUH1
P78317	Q9VNJ0
P19878	O70145
Q96S55	P40151
Q8N4L2	Q9VT69
A8K0Y0	Q9W3N2
Q92576	Q9VG78
Q9Y5R8	Q03630
Q8N0X7	Q9VN45
O75907	P25628
Q9UKX2	Q8SZW3
Q9BV19	Q09227
Q9UBV8	Q7K2L7
Q8N5D0	Q21934
Q16206	Q9VU18
Q96QU8	Q9W5G1
Q8WW43	Q9VQG2
P42331	Q95R37
P17600	Q8MXU3
Q91VH1	Q86WK9	Q07959
Q9GZU5	Q9VKX6
Q8IWC1	Q9QXJ2
O75695	Q95TP0
Q7Z434	Q8VCF0
Q86VI4	Q95R82
P02461	Q9U348
Q96G79	O16658
O75807	Q9W1E4
Q9BTE2	Q9VUB4
P05161	P18101
Q9UM82	Q9W1A4
P12259	Q61147
Q13796	D3DME0
P22891	Q8R182
Q9Z1A1	Q92734	Q9U1W1
Q24151	P40763	P42227
Q9HAF1	Q9VRN3
Q8IQU2	H2KZH8
O75425	Q18438
Q9GZT8	P53081
Q9NQX7	Q9VPT9
A1Z6G9	Q9TZH9
Q96T76	P40469
Q16740	Q9VKY3
P22059	P38713
Q13467	Q9NBW1
Q9BRX5	Q12146
Q9Y6U3	Q23989
Q9W549	Q8MYM9
P08123	Q20282
Q8WWM9	O17824
Q10663	P30952
Q8N7E2	Q9VIT1
Q8NE79	Q9VRE2
Q9P2E3	P32644
Q53FP2	Q8T0T9
Q86TC9	A1Z6X2
O77431	Q69YQ0
P34540	P28738	P17210	Q9NQT8
Q9NZ01	Q20344	Q9VLP9
Q9VH60	Q86XK2	Q94251
A0A0C4DGQ7	Q9VUI3
Q7Z5L2	O01299
Q99NH0	Q9W0R7
Q8IWA4	O18412
Q96HY6	Q9VDD1
Q9P281	Q9VWC0
Q9Y584	Q12328
P48551	O35664
Q99NH2	G5ECZ8	O96782	Q8TBB1
Q9VW28	G5EGG9
B3KQ07	Q9W3J9
O95140	Q7YU24
Q53H54	Q04235
Q9BTT0	O62220
Q9VSL4	P34345
Q9NRI5	Q811T9
Q96QF0	Q20759
O60635	Q9VGV3
P62330	Q9VD65
P26885	Q9W1I9
Q9VM19	P31688
Q86Y07	Q7KMI3
Q96IZ2	Q9VPN1
O60783	P10663
P28068	P01887
Q8MSG8	Q7Z2E3	Q08702
Q969E8	Q06672
P15923	Q86PA6
O95453	Q21412
P00958	P56192	Q9VFL5
Q6UXH1	Q9VPJ0
Q96F93	Q9W137
Q8N7M0	Q9VH45
Q07813	Q92843	P41958
B2R9Y1	P35183
Q86U70	O18353	Q9U3E2
Q14135	Q80V24
Q9NWB7	Q9VQS5
Q6P9B6	Q8MSQ5
Q13438	Q9VKC7
Q9HCU0	A1Z7C4
Q8TE67	Q95TJ6
Q8IXM7	Q9VCJ6
Q6UVJ0	Q9VAC8
O75489	Q9VZU4	Q86NC2
P05186	Q9VP35
P49863	Q4V3U8
Q8IWR1	Q9U5C2
Q9VMI8	H2KYX6
Q9NX18	A1Z897
Q12860	A2CG49	O97394
P02462	Q23150
Q9VI82	Q07896
E9PFK9	Q8I100
Q9NX94	P97764
P02671	A1ZAJ8
Q96J01	P53851
P04070	C5WLM7
P98153	Q9VFA8
P08621	Q8SX83	Q18033	P53552
Q96HA8	Q7K2Y9
Q08170	Q9V3W7
Q2M3R5	Q04835
Q96N11	Q9VPF9
Q9Y4P8	Q02887
Q8N5M9	Q7K1V5
Q7Z7N9	Q9CY24
Q9VF24	P55155
Q9NVR5	Q0E9G3
Q75QN2	A1ZAK1
O15392	G5ECJ5
O15315	Q27297	P25453
Q9NTJ4	P22855
O43543	Q9VWT5
Q86X83	Q9VEB2
Q96LM8	Q9VVM7
Q96FX2	Q3E840
Q14031	Q18620
Q567U6	A1ZAC7
P61982	Q04917	P92177
Q9VD13	Q07872
Q8TB40	Q12385
Q9NPJ6	Q9VS38
Q8N0U4	Q7K1W5
G5ECM9	Q9UGM5	O08677
Q13568	P56477
Q5VTY9	Q08929
Q7JRK7	Q06892
Q9P1U0	P32529
Q9VWC3	G5EG39
Q9HCI7	P50534
Q8SWZ1	P23415	Q22741
P16989	P91306
P01375	P41155
Q6AZY7	P34340
Q08378	P55937
Q9N392	P23503
Q8NDW8	Q20255
Q08409	Q7KU30
Q9Y6V7	P36120
Q9H3S4	P35202
Q9V492	Q06563
Q96Q42	A1ZB08
Q96Q77	Q9W2Q5
P41911	P13706	P34517
O00186	Q24179
P68402	Q9VXP4
Q9NX65	Q9VDN4
P34730	P27348	P62259
Q99523	P40438
Q9VA53	Q6AHR3	P38689	Q14558
Q96AG4	Q9VQ25
O75496	O88513
P26842	P41272
P37268	P29704
Q8MLT4	Q96PE1	Q19312
Q9W0P2	P12689
Q9BYD2	Q9VF89
Q9H9J2	Q9VNC1
Q5JTY5	P53729
A1A4S6	Q8T0G4
O95714	Q08023
Q8WWT9	Q8T3Y2
O75420	Q7KQM6
Q9NSI8	Q8SZS0
P00751	A0A126GUP6
Q9NX47	Q9VQI2
P48582	Q9WU78	G5EBN5	Q8WUM4
Q92563	Q9VCR3
Q9VDC1	Q9U2N7
P19113	P20228
Q9H488	Q9V6X7
P30044	P38013
O43155	Q9W128
A0A0C3SFZ9	Q9TXS0
Q9Y276	Q9VS62
Q9U6B8	Q9BRQ5	Q09232
P78549	Q9VIH0	Q08214
O15524	Q9VJA1
Q6ZW49	Q94046
Q9VKQ9	Q03323
G3V180	Q08225
Q5T6V7	Q9W2I2
Q9NX63	Q9VA18
Q99942	Q8IR26
Q5TA45	Q9VE51
Q16650	Q23622
P00749	A1Z7H8
Q8TCZ2	Q8VCN6
P10451	P10923
P87108	P62072	Q9W2D6
Q7KVQ0	P28007
Q9Y3S2	Q9VAU9
Q96K21	Q4QQ70
O78179	Q31099
Q9ULV8	Q3TTA7
Q8N5G2	Q0E901
Q9U9A9	Q86WV8	Q9EP53
Q9H7P9	Q8MKL4
Q49A26	Q8T079
P18124	O01802	Q12213
A3KN83	A8JUV0
Q6IAA8	Q9VW73
P13674	Q8IQS7
Q05BV3	Q0E8T7
O75937	Q9VCH9
P02747	Q20778
Q96D30	Q20952
O43868	Q7K4A1
Q12797	Q8BSY0
Q14166	Q8IPB2
P13284	Q9VCK1
Q3B726	P46669
Q5BIE4	Q09479
P53136	Q6RFH5	Q7K4B2
Q6ZS17	O45268
Q16586	Q9VLQ0
O75534	Q9VSK3
Q96F44	Q9U5C1
Q969V3	Q9VKZ7
Q9VWC8	P33527	P53049
Q8N511	Q8SXS0
P48156	P62241	Q8MLY8
P48960	A0A0B4KEG9	G5EDW2
Q21209	Q96Q27	Q9VSA4
Q9VB21	O44131
O75096	Q95RQ1
O75909	O96433
Q9D2Y4	Q96S53	Q9Y1A8
Q96CV9	O88522
P23381	Q12109
Q9C0C4	Q8MYZ9
P00736	Q7K1E3
O14732	Q9VP62	P38710
Q12824	P18480
Q22620	P38708
Q6P1N0	Q9U2M8
Q8NC60	Q8SZ15
Q961D1	P34424	P24863
Q9NX04	Q499E6
Q9HBH1	Q8INL3
O00443	Q9W0R8
Q15650	Q8T921
P42262	Q01097
F1D8P7	Q19496
Q9UBX5	Q9V4B8
Q9VY91	Q53EL6	Q61823
Q9BZE7	Q9VSS7
O95801	A1Z6M6
Q9NTI5	Q04264
O45419	Q96PZ7	Q9VE20
O95563	P53311	Q9VHB1
Q8BKX1	Q9UHR4	Q8IQE6
Q7JUX9	Q09287
Q9BSL1	Q86LF0
Q9VN03	Q17828	Q8IYB8	P32580
Q96QD8	P40074
Q07065	Q8BMK4
Q9H4I9	Q9U3I4
P50591	O35235
Q8IZ03	Q64345
Q8NEV8	Q0VAV2
G5EEZ3	P04755	P17787	P49582
O14841	P28273
Q6P3S6	Q9W281
P00568	Q9VLG2
Q9BUL9	Q0E9N4
P01031	Q9VIT9
Q7KMH5	P34318
P36915	P40010
P45880	Q60932	Q9VKP3
Q14814	Q9JM73	P11746
Q14435	Q6WV20
Q9N3J4	Q13901	Q9VXL4
Q7L2E3	A1Z9L3
Q8IPA2	Q08295
O75153	Q03690
A2RRN7	Q80TJ1
P16435	P47169
Q96JQ5	P19437
Q9UH77	Q9VLV6
Q9NQX3	G5EF06
Q9P015	P36520
Q92913	P91672
Q7K1S6	P53904
Q3YBR2	Q8IMU0
O75167	Q8IH02
Q9H008	Q9VLM9
P00156	P03873
Q14929	Q9VEF3
P27707	Q9XZT6
Q6YHU6	Q9VWB9	Q03496
Q9H3L0	Q9XWC9
P31327	P07258
Q02221	P32799
Q9V3D6	Q9P2I0	Q12102
Q6ZNA1	Q21777
P13598	P35330
O60291	Q9VY98
Q06546	Q7JNQ1
Q19955	P81274	Q9NFR7
Q9Z104	Q9BIW6
P40303	Q27488	P25786
Q96BT7	P49957
P35658	Q9W1X4
Q96LA5	Q9VNP2
O18229	O95336	P50278
Q8WTW4	P39923
Q8TBC4	Q7KJV6
Q62419	Q9VE96	Q5HYK7
Q12912	Q60664
P41136	Q02535	P18491
Q9BVK2	P40351
Q8R3Z5	P54284	O01661
Q96EH3	Q9W0F9
P52824	Q09103
P12956	Q23976
Q92896	Q9VP27	Q19459
P10144	Q7K2L4
Q9BQJ4	G5ED30
P36955	Q8T0M5
O60543	O61464
Q9VDM7	O75936	Q21526
Q9ULY5	A1Z8L7
Q9BQG0	Q7TPV4
Q96NY8	O61674
P26361	Q9VPJ7	O95477	P53756	O44897
Q14157	Q86S05
Q14186	Q24318	Q22703
Q9VXD6	Q19293
P60321	P25724
Q10570	Q06632
Q8WY36	Q9VUD3
Q96KP1	Q9VQQ9
Q9ULH0	Q9V3Y0
Q6FIE9	Q9QZ06
Q9Y520	Q7TSC1
Q9H175	Q9U4G5
Q9Y692	Q18624
Q07845	Q5SY16	A1ZA92
C1P633	Q9D6K5	H0YKB7	Q24279
Q03565	O75531	Q9VLU0
Q9VT29	Q22306
Q92782	Q9VYA9
Q96I99	Q9V470
Q8NF50	Q9VPI9
P00395	Q9ZZX1
Q9VAN7	Q12008
P54315	Q9VPH3
P24869	P20439	Q10654
Q9NSE4	Q9VZ82	P11325
P38919	Q86B47	P53166
Q9UJX3	Q9WVM3	Q9W3Y6
Q9VTV4	Q7Z6J9	Q02825
Q86VK4	Q9VEF0
Q9VBH7	Q9BVS5	P46959
Q53GS7	Q12315
Q24472	Q08999	P13405
P39059	Q17417
Q6PI25	P53173
O95995	Q8MT08
Q9UIQ6	Q9VBA3
Q5HYJ3	O44772
Q13610	A1Z8D0	P21304
A8K5H9	Q08605-2
Q9VIF1	P34607
P30656	P28065	Q9NHX7
O00231	Q94899
Q8TDR0	Q9VFL0
Q9P246	P83094
O96681	P16056	Q9ULL4
Q7K025	Q9XUP8
Q8TCD6	Q9VWF3
O01965	Q7Z419	O76924
Q9UHQ9	P36060
Q9UIF8	Q9V9T4
Q9UN86	Q9VRD6
Q9NVV4	Q9VYS4	Q09409
O44517	Q5VT66	A1Z803
Q7Z6R9	Q19862
Q9VCY3	Q7L5N1	Q95PZ0
Q8N9I9	Q23985
Q7Z7G1	Q60787
P12829	Q8T415
Q5BJF2	Q12155
Q9W4J6	Q22554
Q9UPT9	Q9W462
Q9XXE5	Q9V9J3	P06239
Q13822	P39997
Q9UMP2	Q12175
Q92935	Q9XZ08
Q9UBC3	O88508
Q32NB8	P25578
Q9UK39	Q03210	Q7K112
Q9V3K7	Q9UIC8	Q08282
Q92530	Q9V637
P23654	Q18573
Q6FGJ9	Q93694
Q9NRB3	Q9W070
Q96N46	Q9VGU5
Q9W1Z1	G5EDB5
O00567	P49704
Q9H3R0	Q9VI63	Q12311
Q0E8G1	G5ECM2
O75356	P40009
O95490	Q9XU98
P91857	O76742	P32883	Q7L0Q8
O43159	P38961
Q6ZTB9	Q9V9V8
Q9UHV7	Q7KTX8	Q93442
Q9H0J4	Q9VUD8
P40537	Q9HC62	Q9VRY4
Q96D42	Q8VIM0
Q9UKZ1	Q9W1C6
Q5VWX1	Q20763
Q27518	Q9V771
Q9P1Y6	Q9VID9
O70494	Q14872	Q9VSY7	Q9XW26
Q9VA78	Q92484	Q04119
Q96KE9	Q9NB71
Q27894	Q93079	P02294
Q96BZ8	Q9VH00
Q9BSJ2	P38863
A0A0C4DGV4	O96824
Q99623	P50085	P24156	P50093
Q9EPL2	Q9V5N8
G5EDD5	Q8WV19	Q9VPD4
Q60I27	Q7JV09
Q9VR35	Q9XW13
Q7Z3K3	Q9VHR4
P18887	Q9Y095
P41732	Q7JWP5
Q9NVN8	P53145
Q16143	O55042
Q86V97	Q8MXH8
P06280	Q7K127
Q9Y119	P38427
Q86TT2	P01872
Q61830	P07307	Q20665
P08237	P16861
Q9VPB8	O75381	P53112
P54368	P54361
A1ZBE0	Q23012
Q06631	Q9NY61	Q9VM95
Q96IZ0	Q925B0
Q8IZS8	O08532
Q5T2S8	Q9VM21
Q7KK90	P23202
Q920A7	O16299	Q9VN89	Q6PL18
Q6PID8	Q920Q8	P34324	Q9VUU5
Q56A76	O35845
Q8TAC2	Q9W422
P63211	Q9NFZ3
Q9VXR8	P28627
Q15424	O62203
P43034	A6ZU46
Q9VCY8	Q9NXK6	Q12442
P49903	Q9VKY8
Q15649	A1ZA28
Q96MN9	Q9VRQ6
Q9UJJ7	Q12362
P16140	P35381	Q9XXK1	P25705	P56480
Q7Z7C8	Q9VP40
Q9W3I9	Q8BH75
Q14444	Q60865	Q9I7D3
O43819	P38072
Q9Y320	Q7JW12
Q8IV63	P54367
Q9NW68	P54858
Q7JQW6	P32875
P00746	Q9VLF5
Q9VRX0	Q8N8L2
O95219	Q04053
Q9H063	P41910
Q8NBF1	Q7KG36
Q04671	Q9VR47
Q4G176	Q9VDU2
Q13409	Q9W5W4
Q9BVL2	Q9VDV3
Q14938	Q09631
Q9VEM0	P47058
Q14CW9	Q9VVR6
P54253	P54254
Q9NP50	Q8T0A8
Q9NQ87	P14003
Q9Y134	P42285	P53327
Q6UWL6	Q24372
P34820	Q9VQG9
O15235	Q19877	Q8T3U2
P19429	Q9XUN9	P36188-3
Q5D0E6	Q9VXT0
P37108	O16927
Q22977	Q7RTS6	Q8IQ02
Q9BVV7	Q9VMR0
Q5T280	P53336
Q24027	Q9UI36	Q925Q8	H2KY91
Q7Z4H3	P38331
Q8N2U9	Q03687
Q9VDC3	Q96PC3	P35181
Q96CU9	A1Z6N5
Q27606	O45364
Q6ZSB9	Q9W2F0
O15155	Q9VVX6
P31995	Q920A9
Q9H0W9	Q9W0J9
Q17895	Q9VNZ4	P41182
Q9VE17	Q05900
P29144	Q9V6K1
Q8NEZ4	Q961F0
P38688	O76094	Q9VDK7
Q9UBS9	Q12232
Q6NVY1	Q9V397	O17761
Q9GZX9	Q9W494
Q6PF06	Q9VR56	Q12400
Q96S52	Q04080
Q9VXQ0	P31334
Q9Y6Q6	P27512
P08266	P30876	P22138
Q6NUS6	Q9VMH0
Q9Y2L1	Q08162
P19320	Q9GPP6
Q13158	Q61160
P61960	P34661
Q99504	P97480
A1L162	Q9VFH8
Q9NTX7	Q9VW25
Q96NC0	Q9VZF0
Q9NH11	O94761	Q05549
Q8TAG9	P22224
P97310	P24279	Q9V461	O16297	P33993
Q9BWX1	Q9VKW2
