P38996	Q94901
Q19969	P52295	Q02821
P53316	P19339
P34288	Q9VTU3
Q06350	Q9W5U2
Q03503	Q95RC0
P38590	Q9VVW5
Q04545	P23803
Q12390	Q9VG96
P42573	O01382
P05748	O17445
P10614	Q9VE00
P90925	P17276
Q22329	Q9VWV9
P12709	P52029
P53944	Q09357
O76840	Q868Z9
P52920	Q9VPD2
P00359	P04970
P15705	Q02335
P53756	P45843
P30642	Q9VGC7
P16371	P90916	P16649
P02825	P09446	P11484
Q21441	P17210
Q10651	P14599
P28006	Q9VVY3
P51402	Q9VXX8
P53197	Q86BY9
Q06817	Q10039
Q12442	Q9VCY8
Q95017	P52486	P33296
P32495	P80455
Q9N425	Q8SYG2
P40477	Q9VDV3
P10591	P11147
Q9Y048	P14199
P34756	Q960X8	P34657
P41832	Q24120
P38431	Q9VXK6
Q01855	Q9XVP0
Q08278	Q95Q17
P40460	Q17635
P38858	Q9VMP9	Q9XVJ2
Q04089	Q8INR6
P53731	Q9VIM5
P22035	P04197
P07244	P00967
P32628	P18101
P38889	P22813
P24000	O01868
Q04002	Q7PLI2
P30619	Q24179
P22289	Q9XY35
O61443	P32328
P48836	Q9XZH6
Q03012	Q9W352
P19263	Q03570
P35817	P51123
P06785	O76511
P13856	P48554
Q18268	Q9XYQ2
P32496	Q23449
P40530	P91622
Q12529	O46040
Q9V3H8	Q21735	P33331
P33329	P23696
P46505	P39572
P33330	Q9VAN0
P43571	Q9W495
P23503	Q9N392
Q23679	Q9V439
Q12395	Q9VUQ8
O44712	Q24119
P38334	O02173
P33401	Q9VUY9
Q12415	Q9VCE9
P28241	Q93714
P87284	P34655
P34730	P92177	Q20655
P53254	Q8IH00
P01123	P48555
P43639	P08182	P28548
P32844	Q9V8K2
Q3E757	P46222
P43558	Q9VRJ9
P39968	P18824	O44326
Q9TW65	Q00963
Q12093	Q9W5B6
P07347	Q9NHD5
P41805	O61231
P22981	P48148	P32939
Q21209	Q03017
P35799	P08120
P33314	Q8T498
P42171	Q9V785
P18412	P30052
P39940	Q9Y0H4
P05737	O01802
P32471	O96827
P46561	P31409
P43609	Q8I8V0
Q08234	P10090
Q19345	P15370
Q03214	Q8IN94
Q02767	Q9V359
P19826	O46037
O45766	Q9V3B6
Q06580	Q09510	P47949
P32774	P52656
P06581	P82147
O45666	Q05192
P53686	Q8IRR5
P38902	Q9VIZ0
P19736	O46106
Q86DA5	Q6IDD9
P40005	Q9VTE5	Q9N5M2
Q12432	Q9Y0I1
P40544	Q9XTQ7
Q12522	O62106
P54199	Q9TVL3
P47977	Q09436
P48563	Q9VLT1
Q07804	O46108
Q09596	P41043
P08431	Q9VMA2
Q9N3T2	Q24558	Q12086
P53131	Q9W1I2	Q9BKQ8
Q99383	Q04047
Q03195	P12428
P00958	Q9VFL5
P25379	Q19374
P38886	P55035
Q95QW0	Q9VTU4
Q9XVV3	P34021
P16522	Q7K4B6	O18158
P38629	P53016
O18209	Q9VP22
P32345	Q05547
Q00776	Q09236
P28778	Q9VZD5
Q9NHZ6	P54361
P05739	P47991
Q12380	Q9W3R7
P33400	Q7YU81
P42949	Q9VF08
P16356	Q9V460	P04050
P40085	Q9VED0
P32074	Q8I0G5
Q03151	Q9VCU5
Q12030	Q9XZT7
P53250	Q9VFM9
P04456	P48162
P35415	P02567
P46769	P38979	P32902
P32190	Q21944
P33332	P33438
P04801	Q9VUJ0
P09119	O16810
P43577	Q17427
P53959	Q21270
O18214	P23023
P49626	P09180	O02056
P34708	P28166
Q03162	Q24180	Q09415
P49197	O76927	P0C0V8
P41896	P41900
Q93646	Q7KRY7	P39937
P80428	Q9VEC3
P25333	O61267
Q9XUP3	Q9W2D9
Q12402	P34296
Q04195	Q94361
Q08179	P91927
P29453	P46223	Q966C6
Q27874	P11584
P53378	P23257
P20449	P19109
P32472	P48375
P0CY11	Q04787
P31386	Q9NB71
Q12524	Q9NA25
P37020	Q9VGH7
P36017	Q9VZ23	P34443
Q95ZJ1	Q9Y117
P53235	Q9VNX8
Q12133	Q9VCA9
P41058	Q9VH69
P49181	P49630	O14455
Q12520	Q9VDD7
P38863	Q9XYP7
P36096	Q9NHX0
Q06389	P49258
Q7KRW1	Q20798
P54785	P39770	P34450
P38071	Q9XXC8
Q04307	P20232
Q9VNA5	Q95005	P25043
Q22366	Q9NB04
Q23646	Q8IQ13
Q06631	Q9VM95
P23639	P18053	Q95008
P13587	P22700
Q04632	Q9VKH0	O44502
P41318	Q9W4E2
Q04116	P06602
Q9XTY6	P16554
P32901	P91679
Q04439	Q99323	P10567
P22696	P54353
P33334	P34369
Q99344	Q9V6U8	Q19360
P00044	P84029
P52492	Q9VM35
Q12690	P41126
P23900	P23645
Q06098	Q9V422	Q9XTC6
P30665	Q9XYU1
P36010	P08879
P07486	P17329	P00360
P0CF34	P26675
P38696	P53501
Q99181	P13469
Q9VGI8	Q19546	P38712
Q03677	Q6AWN0
P40468	Q9VT28
P36016	P27420	P29844
P08570	P91913	P05318
P41807	Q9V3J1
P47156	Q9VWF2	Q09477
P33202	Q9V853
Q12464	Q9V3K3
P28263	P52487
P28519	P28518
P40466	Q17381	Q02361
P39083	Q9VDS5
P38992	Q20027
P50102	Q24574
P38319	Q9VQM4
P38704	P08970
P28000	Q9VJE4
Q20678	Q9VVG4
P32873	Q9VX32
P39933	P51521
O62136	Q9V3W6
P39729	Q8SWU7
P54781	P82711
P39960	Q9VDG2
P08466	Q95NM6
Q04311	P34511
Q94420	P17789	P27705
P53224	Q9VP04
P25228	Q10943
P53904	Q9VJE5
Q24212	P35602	Q99186
P21954	Q9VWH4	Q93353
P13365	P14785
O44480	P41093
P13382	P54358
P38822	Q9VU84
P39944	P55824
P53969	Q9V784
P06787	P18432
Q19203	Q9VQU9
Q12024	Q9VIP8	Q93794
P10983	P32392	P32381
Q04162	Q8IRI6
P34604	Q9V9X4	P12754
Q12406	P45890
P50095	Q07152
Q23977	Q20347	P32490
P53049	Q00449
P38324	Q9VN41
P07281	P39018
Q04226	P49906
P41695	Q7PLI7	Q8MYQ1
P38126	O16368
P49017	Q86BS6	P34666
P32911	Q9VZS3
P36002	Q9VXE5
Q06236	Q9VCI5
P06784	P40417	P39745
P80667	P00522
Q18964	Q7KNS3
P07487	P17330	P00358
P39008	Q17345
P35127	Q09444
Q22866	P06754
Q9XWI6	Q0E940	P06103
P13060	Q9XV52
P38254	Q9VM92
Q03640	P90980	Q9NHV9
P19735	P17886
P04650	O16130
Q9NDC9	P26308	P38011
Q06205	Q9VL78
P24280	Q19895
P52874	A1ZA92	Q08685
P39926	P91409	Q24547
P28272	P32748	Q18164
G5EEH9	Q9V6B9	Q02630
P38627	Q9VUL1
P43588	P26270
P16892	P54350	Q10664
P47117	P45888	P10984
P40480	Q9V7A7
Q12496	Q9V9E3
Q9VTY6	P52478	P50623
P14126	P50880
P18431	Q8MXI4	P53104
P25371	Q00174
Q12303	O01530
P40107	Q95YI5
P54936	P16912
Q6WNK7	Q9VYX1
O16850	P32030
P12881	P22141
O62479	P15215
Q08924	Q10051	Q24371
Q22347	Q9VSA3
P53861	Q9VCP0
Q22640	Q24337
P34611	Q9V4M2
P54811	O18413	P33297
O01634	P27716
P32432	P19538
P53893	P53013	Q9VRH6
Q00684	P81299
Q12306	P55853
P10862	P35820
P22803	Q9TW67
Q06142	O18388
P42170	P48592	P49723
P38182	Q09490
P21827	P25171
P10659	O17680
Q9XYM0	Q45FX5	P38753
P40478	Q94920
P38109	P52717
P29829	Q20168	Q12523
P18899	Q9V7U0
P23573	Q2PJ68
P33748	Q9VI93
P53044	Q9VTF9
P53599	P52304	P50488
P53009	Q9TXJ0	Q95UN8
Q9U2R6	P13054
Q05584	Q9VLS9
P36159	Q8MKW7
P30822	Q9TVM2
P53128	Q17693
P40320	P50306
P23202	P20432
P40010	Q9W590
Q09248	Q7K2D2
O01836	Q9VHP0	P35187
P38692	P13678	Q17941
Q21554	Q9XYZ5
P32605	P43332
P39959	P15619
P50140	P48605	P39079
Q9U539	Q9VCA2	P23585
P29355	Q08012
P53164	O45830
P38791	Q9XXJ0
P53688	Q21921	Q9VAQ1
P40994	Q9VP48
Q9VI10	Q18786	Q06217
Q93573	Q9VGS2	P35691
P26783	Q9VKX4	P49041
Q06411	Q9Y103
Q22703	Q24318
P33417	Q9U1H0
Q94514	P55954	P00427
Q99257	Q9U1H9	Q9XVS8
P06839	Q9W484	Q93575
Q09501	P08928
Q9GTD4	P31396
P18414	O76767
P48589	Q9U3Z7
P29461	Q9W0G1
O18141	P10734
Q06213	Q9GYU7
O44199	Q9W252	P12753
Q18115	Q9V3P6	P38764
P83967	P10986	P60010
P36179	Q09543	P31383
Q02486	Q24533
P32611	Q9XVF7
Q9VCY3	O76577
P11632	P41848	Q05783
Q95Y72	Q9VM46	O94742
P34161	P83949	P10038
Q06685	Q9VR59
P34286	Q9XYN7	P23724
Q9N4I4	Q9VTP4
P38228	Q9VPS5	P47208
Q05652	P24348	P13134
Q05900	Q9VE17
P20457	Q9VPH2
Q8MSX2	Q9N337	P38782
Q9VFC8	Q9U2D9	P23337
P05750	Q06559	P48152
Q17771	P18102
P20486	Q24152	Q17868
Q12400	Q9VR56
P48154	P55830	P33442
P27999	P36958
Q07949	Q9VRG7
P39965	Q18678
P32610	Q9NEF6
P34540	P20480	P28742
Q12344	Q9VYY9
P54733	Q10653	P30283
P15624	Q19713
P02309	P84040	P62784
P27604	Q27580	P39954
P34609	Q9GQF1
Q12468	Q9XZ58	P91001
P32461	P49958
P22082	P25439	Q6BER5
P48603	P34686	P13517
Q9U308	P16621
P61830	P02299	P34440
P34329	P54399	Q99316
P08841	P34475
P24583	Q8IR79	Q23356
Q19905	O02373
P32801	O97143	Q9GT24
P38061	P04359
P53598	P53585
P05756	Q03334	P51404
Q12263	P10676
P20163	O97125
P25299	P48810	Q10667
P32916	Q9U5L1
Q7KVY7	O16000
P36080	Q9VDS6
P52275	Q24560	P09734
Q08929	Q9VZU2
P53946	P10987
P24784	Q27268
P00925	P15007
P31384	Q24020
Q03601	Q9VRP9	Q12161
P33309	P48612
Q12038	P08111
P20433	Q9VEA5
P51403	P31009	P25443
P46675	Q9NBD7	G5EEM5
P50086	Q94527
Q9NAD6	Q24151
P13393	P20227	P32085
P32602	Q23983
P06786	P15348	Q23670
Q23023	Q9NBK5	P47042
Q12071	Q9VLC0
P23647	Q19266
P25808	P09052	Q95YF3
P53919	Q9VJ62
P00528	Q9XTG7	P32485
P53540	Q9XYP8
P28707	Q9VH95
O45244	P24785	P20095
P48231	P21521
P20435	Q24320
O02108	Q24276	P06101
P50264	Q9XWP6
Q04062	Q7JVI3
P36132	Q9VWD6
P15202	P17336
P47948	Q09665	P06704
Q04921	P40797
P39081	Q09345
P40029	P08761
P17157	P49762	Q17446
Q03048	P45594	Q07750
Q23593	Q9V427
Q9U489	Q8MQJ9
Q00245	P08645	Q05062
Q93459	Q9VJI9	P40558
P26570	Q9VXF1
P48461	Q9XW79
Q27535	P48610
Q05016	O18404
P51862	P91620
P29366	Q9V9J3	Q17850
P90953	P05709
P14743	O61613
Q09406	Q9W328	P36104
P35996	P48159
Q05856	P91918	P53905
Q9U3D4	Q9VS60
P25044	P35992
Q19848	O76324
Q9V9Z9	Q09958	P36049
O17583	Q7JUY7
P05661	P12844
P81900	P30625	P07278
P09733	P06604
P52554	Q9VW56	P52553
P29056	P29052
Q9GYI0	Q9VHH9	P40034
Q8WQG9	P06782
P33399	Q9VAW5
P05317	P19889	Q93572
P40961	P24156
P33307	Q9XZU1
P38768	Q0E9G3
P34420	O44424
P22219	Q7KRY6	Q95QC4
Q21557	Q24117
P53863	Q03751
P0CY13	O46339
Q8STF6	P98081
P21304	Q8T088
P53734	Q9V3C0
P07269	O77215	Q94398
Q9BLB6	Q9VR52	Q08963
Q9V6U9	Q17334	P38113
P32597	O97159
Q12440	P34514
Q03919	P15357	P37165
P40016	Q04908	Q9VTL1
P42943	P46550
Q12091	Q9W376
O74700	Q9VYD7
Q02979	Q9V5N8	P14585
P29413	P27798	P27825
Q12033	P34552
Q08745	Q9VWG3
Q9W2N0	P34685	P28495
P17121	A1ZA47	P46941
Q9VTC4	O62252	P38829
Q95RJ9	O16519
P06634	Q9VHU1
P41829	P20153
P39726	Q9U616
P35207	Q9VVX3
P28239	O77460
P53971	P40798	Q18034
P40614	Q9VAY3	Q12251
P23287	P12982
Q9BL19	Q9W3W8	P46990
Q12487	Q9VNE9	Q27389
P32944	P11346	P20792
Q9W237	Q22054	P38120
Q9XUB2	Q86B79	P47976
P38165	P91664
P00560	Q01604
P48561	Q9VYS4	O17087
Q02256	Q6NN85
P90901	Q8MSS1
Q06449	Q8T390	P34416
P27801	Q24314
Q12672	P34334
P38158	P07191
P20478	P34497	P32288
P41813	Q95V55
P40526	Q9VLP9
P40204	Q9N4G9
P19358	Q27522
P50077	Q9W0Y8
P08678	P49594	Q7K4Q5
P17967	P47938	Q17424
P07248	P08044
P02406	P41092
P12866	P91660
P35169	Q9VXG8
P39990	Q9V3U2
Q01852	O02161
Q12009	O77263
P06738	Q9XTL9
O13563	Q7K2G1	Q09289
Q08817	P08953	Q22875
P38987	Q9VHV5	Q21917
P40484	Q95RA8
P16140	Q05825	Q19626
P36149	P34605
Q06103	Q9V3G7	Q9GS00
Q23261	Q9VY93	P47095
P28737	P46502
O02649	P47209	P12612
P16862	P52034
P23380	P34546	P23968
P53337	O18405
P00729	P52715
Q9N2V6	P40946	P39110
P42942	P32234	P91917
Q21993	Q9VCZ8	Q04493
P38736	Q9VE50
Q12404	Q17770
P34471	Q24317	P10363
Q18688	P02828	P02829
Q7JWD3	P30632	Q12154
P40986	Q9VLR9
Q3E7Y3	P48149
P32874	P05990	O17732
Q09306	Q86PC9
P52491	P25867
Q02206	P13709
P38701	P55828
Q9V3L6	P90978	P27476
O17695	Q94517	P32561
P40656	Q10666
P15425	P52012
Q03323	Q10661
O01839	Q8MSY4
P40450	P48608
Q07540	Q9TY03
P12695	Q19749
Q12387	Q9VDQ7
P36006	Q01989	P91443
P40314	Q18885
P53064	Q9W261
P46674	Q9U3V9
P40487	Q09454
P32447	Q9V464	Q19326
Q94261	Q9V4S8
P32773	P52654
P08153	P39768
P53243	P25932
P40564	Q24133	Q8TA83
P46824	P46822	Q03690
P36077	Q9VX10
P32454	Q24325
Q9VA91	Q23312	P48164
Q7KML2	Q20772	P13711
P19658	Q9VSJ8
P15732	Q9VSF3
Q02804	Q9BIG2	P25157
P34517	P13706	Q00055
O02328	A1ZAX1	P32497
Q07381	Q9VP47
P32909	Q7KQM6
P22211	P34314	Q24210
P32380	Q8SX83
P39516	P14130	P48150
Q22782	Q06849	P32836
P53228	Q9W1G0
P38682	Q9NGC3
O01427	P32562
P36113	O76924
Q18823	P11046
Q19366	Q9W088	P46957
P34324	Q9VFP2
P39521	P14734
O02639	P36241
P00546	P48609	P34556
Q06096	Q95TN4
P32366	Q9W4P5
P40048	P16620
P48596	Q19980	P51601
P32831	P92204
Q08558	P34559
Q20365	P08646	P48559
P38203	Q24297	P34659
P21137	Q03043	P06245
P25822	Q9N5M6	P25339
P46995	Q9VW15	Q9NH52
O17586	Q9V5C6	P21243
P27895	P45962	O16844
Q08873	P14318
P11141	P29845	P16474
Q9U2Q9	P04412
P04821	O77086
Q99207	Q9VEJ2
Q9VCU9	P34529	P38719
O77469	P25723
P53934	Q9I7X6
Q08649	Q960X4
P36037	Q9N4A7
Q18217	Q9VTE9	Q12059
Q9W5R8	P49405	P26321
Q06651	Q9VGP1
Q9V345	Q9N359
P47096	Q19341
P38129	O02195
P32776	Q960E8
Q08951	P91926
P02557	P61857
P05130	Q20471
P32457	P42207
P32364	P18105
P43568	P12370	Q9XTF3
Q02647	O96860	Q22799
P36022	P37276
P17221	P07207	Q12013
P17917	O02115	P15873
Q9V3R6	Q22618	P53065
P40096	P84051
P33420	P13496
P32795	Q7KN62	Q09535
Q21624	Q7K0L4	P07834
O01761	P34082
Q23457	Q9W5E1	Q08273
P36005	Q09147	P03949
P41833	Q9VCE6
P29742	P34574	P22137
Q27488	P40301	P21242
P07260	P48598	O45551
P47033	Q09566
P37366	P25008
P34260	Q07327	P20795
Q9XTB2	P25160
P91829	P49869
P53691	Q9V3G3	P52013
P23638	Q95083	O44156
P33203	Q45VV3
P53152	P52485	P35129
Q18066	Q9VS29
P48510	Q9VJ33
P36012	P84249
Q23639	Q24311	P53202
P37291	P50432
P38132	P49735
Q02100	P18289
P09436	Q21926
P54412	Q9NJH0	P36008
P39684	P21187
P06773	Q9VWA2
Q9VLV5	Q9XTU6	P40089
P32914	Q9TZ93
P30634	Q03019	P23748
P38121	Q9VB62
Q95Y90	P50882	P51401
O45946	Q9VS34
Q9VVE5	Q10572	Q00916
P18851	Q9VAT2	Q21215
P25301	Q27297
Q24324	O62305	P23561
Q9U9Y8	Q9V3I5
Q9GU68	P34563	P19211
Q21955	Q9Y149
P54812	P48601	P33299
P32899	P55935
P12385	Q9VPH7
Q12255	P18489
P05319	P05389	O01504
P32354	Q9VIE6
Q7K1Y4	Q9XW12	P25635
P34739	O17917	Q06554
P53738	Q9VP65
Q9GSX9	Q9W358
Q8T0S6	Q18846	P32491
P41696	P28167
P33755	Q9VBP9
Q22836	P39736	P28004
Q05568	Q9V8P9
P40427	P41779
Q03081	P39413
P34808	P46461	P39955
P38074	Q9VH48
P05066	O77059
P35176	P25007
P34638	P20439	P24868
P51875	P20353	P10823
P49071	Q21734
Q12145	Q9VJN5
P53068	Q9V831
P21576	P27619	P39055
P43509	Q95029
P54269	Q19503
