Q9D1H6	Q9P032
Q6PJ61	Q4KLY2	Q80XI1
Q9UN36	Q8VBU2	Q62433
P35000	Q5FWI2	P41586
Q6NZL8	A0A0G2K1G5	P35555
P01189	Q8K422	P01193
Q64213	Q9JLP1	Q96PU8
Q9DCU9	D4A2K1	Q86XE5
P01724	Q6PIQ7
Q8VC48	O00623
Q9CQH0	Q923S2	Q13113
P25444	Q9BSW5
P70281	Q8IZT9
A0A0B4J1E2	Q6I9S2
Q9Z0V6	B2R4P2
Q91W19	P0DMM9
P11247	F1M6V7	P05164
Q8BND5	O00391	D3ZP13
Q2LKW6	Q7RTR0
Q8WV07	D4A8F6	D3Z5L0
Q8C7R7	B2GV50
Q8CCN1	D3ZDM5	Q8WX94
D4A0A1	E1U8D0
Q8VH49	Q9JLR9	C9JAW5
D3Z3I0	Q86Y33
Q9Y2T2	Q2PWT8
Q6P5U8	E9PU06	Q8NFR7
G3V9D3	Q9Z2G6	Q68CR1
O15027	Q75N33
G3V882	G5E891	P01127
Q8R359	Q6AYH2	Q8NBZ0
P02104	Q6B0K9
Q58A65	M0RBM9	O60271
Q9JJN5	D4A8X4
D3ZE35	Q8BP74
P48760	M0R401	Q05932
O60478	D3ZK26	Q80ZU9
Q86X06	A0A0G2K175
Q8K3A9	Q7L2J0
Q9D4P0	F5H423
Q61081	Q5XIC3
Q8C010	D4A0Y5	Q9BZJ8
Q9ERS2	Q9P0J0
G3UW82	A5YM51
P16860	P13205	P40753
Q8BT90	P04644	P08708
Q91V08	Q12918
O14980	D3ZQE8	Q924C1
O08810	Q15029	D3ZXJ5
Q99KP6	Q59G26
Q99PW7	O95633	Q9EQC7
Q5XIC5	Q9EQG9
O94929	G3V663
F1LWS7	P08043	P52737
A2ATU0	A2VCT2
Q63836	Q13228
A2A7Y5	Q5JXC2
D4A5R0	Q3TKY6	O43447
Q4KM83	Q3TV70	Q86WQ0
G3V8M8	O88622	Q86W56
Q15418	Q8BSK8
P02708	Q8R4G9	A0A0G2K5T5
Q6NR77	P82458	B1AVF4
B2RTM0	Q99525
Q8NG66	Q9ES74
Q7TT10	Q96PC3
Q6PCM6	Q5T1H1
A0A0G2JWG0	Q64311	Q96AB6
P31943	A0A0G2JTY6	Q8K0G8
Q91V37	Q99437
A0A0G2QC52	E9Q9D5
Q6ZMT1	O08641	D0IN10
Q8N531	Q641W5	Q8BH70
A0A0H2UHW2	Q8BGB8	Q9Y3A0
Q8BZ03	Q5XIS9	Q8IYT8
Q5M8N0	Q5M7A7	Q96F85
F2YMG0	Q9GZN4
Q38J66	Q8R3G1	B1WC70
D4A7U8	Q9NPC6	E9QJU4
F1MAF2	Q02040
Q66HB6	Q5IR70	Q8TC20
P97861	Q86Y46
Q920E6	Q9UL80
Q8IYT2	D3Z980	Q8BWQ4
E9Q3S4	Q6ZWH5
F1LQY6	Q8N987	Q9D6J4
O75417	D4A628	Q2VPA6
Q9D9E0	O15245
Q6PD28	Q80W83	Q15173
Q8HWA3	Q9BZM6
Q9JHN9	P26715
P28845	D3Z9P1	Q6GV12
Q71DI1	P81605
P16858	Q16768
Q8K2R0	A0A0G2K7L6
Q8VHF5	Q80X68
Q08093	Q15417
A0A0G2K8D1	Q9CWP6	Q8NHP6
P15684	G5E872
D4ACC1	Q9QXT1	A0A0S2Z4E4
Q99KG1	B7ZLP7
Q8N3E9	D4A978	Q3USB7
Q53G25	B0BN81
Q9JI71	F1LQX7
F1LN45	Q5F4T0
Q9JJP2	D4AA88	Q1MSW8
A2AU34	Q96NL1
P01865	P01871
Q9WUG6	Q9Y5Q6
A1A547	Q96LB8
E9Q395	P29016
Q6ZMU5	Q5SZ99	A0JPQ4
A0A0U1RRX0	Q8QZR3	P23141
Q8BP22	D3ZP87	A1XBS5
Q9D823	P61927
Q3U8Y1	P82912
Q8R1W2	Q6UXU4
Q498R7	Q8BHG2	Q9NWV4
P33175	F1LQZ3	Q96AC6
O88631	A0A0X1KG74
Q3TFI6	Q8WWP7
P40879	A0A087WSS7	Q924C9
P27658	F1LRM7	Q63870
Q9UJT1	P99024	Q6P9V9
A0JPN4	E9QNR7	Q5D1E8
Q5I0I5	D3Z5I2	Q9BQ65
Q8K386	P59190
A2AR95	Q86YD5
Q80T79	G3V902
Q96BA4	G3V8R1	P81117
P54762	Q63132	Q60751
Q8BI84	Q96RT6
Q8VHL1	D4ADE5	Q8WTS6
P07951	Q6IRU2	P58775
D3ZKQ0	Q9NV35
Q9EQI5	P02775
Q91XF0	O88794	Q9NVS9
Q4KM93	Q8BPE4	Q53S58
E9QA35	Q8IWB4
Q9Y3B3	Q3V009
Q8WWY8	Q5BKQ4	A0A0G2JUG3
P06344	Q95IH1
Q9D600	D3ZSY6	Q9Y248
P09036	P00995
Q9D6G5	B1WBM3	Q9NPI0
Q7TND5	Q5PQR5	Q96G21
Q8BHX1	Q96CS2
E9Q3R6	Q86UQ0
Q9Y3A6	D3YZZ5	Q6AY25
Q9D1I2	D3ZPP9	Q96LW7
P18469	P04440
Q2QGD7	F1LNL6	Q8C8V1
Q6PAV2	F1M3F2	Q96GR7
Q9EQH5	O43175	P56546
Q4V328	Q9JHZ4	Q8VD04
Q921S5	B7Z6L9
Q8BID8	D3ZVD0
Q80T11	Q8N8V4	D3ZTY5
P53657	B4DRT3
Q13103	A0A0G2K9X1	Q8K1I3
Q8N448	P31016	Q62108
O14684	Q9JHF3	Q9JM51
E9PU86	Q63955
O55134	Q9Y5G2
A0A140TAB6	A8MQT2
P25788	P34064	Q3TL95
P31532	P0DJI9
F1LR53	Q6GQS1	Q5SVS4
Q5I0D5	Q9D7I5	Q9H0R4
F1M9F4	Q92859	Q9ERC8
Q93009	A0A0G2K2C7	Q6ZQ93
A0A0R4J016	O95620	B0BN89
Q3V1B8	F1M8X1	Q96RP7
P53671	F1LQ89	Q8CBF3
A0A0G2K8Q1	E9QP56	P02656
D3ZKU3	Q80ZW0	Q8TDR2
O54902	P41251
F1LMI3	P97326	P19022
Q8BZH4	F1M0V0	Q7Z3K3
D4A400	Q3UQ28	Q92626
P41731	D4A0Z1
A0A0G2JXI4	P52633	Q14765
Q3TTJ4	Q96LL4
G3V629	A2AI08
Q8K2C6	Q9Y6E7
P40925	O88989	P14152
P84085	P84083	P84084
Q3V157	Q5XI26
F1LSL4	Q5SW45	Q9NXB0
Q58DZ9	A2ANU3
P0C6A2	Q13495
P01843	P15814
Q6DIC0	Q9H4L7
Q9UIX4	A2BDX4	D3ZZR6
P62902	B2R4C1
Q4JIM5	A1Z199
Q505D7	Q9H6K4
P62714	P63087	A0A0G2K7T5
D3ZCS9	Q9CRB3
D4A8S0	Q04892	P35711
Q9Y2Q0	D3ZN41
P21460	P14841	P01037
D3ZGS5	Q9CYE0	Q8TF21
B2RXC1	A0A0G2K1K5	Q7Z392
Q9H6F2	Q3TMP8	Q68FV1
P14735	P35559	F6RPJ9
P28799	G3V8V1	P28798
Q9JJN6	Q4KM58	Q9NSA3
P41227	D3ZUQ2	Q8CES0
Q8K1L2	Q9Y657
Q8NHV1	Q5BK45	Q8R379
O55038	F7F7W7	O43927
F1LZ35	Q6PE01	Q9Y4P3
A0A0G2JT35	H3BNR1
E9Q6B2	Q96PX6
Q921B4	D3ZUE7	Q6PEZ3
Q8R4R6	Q68FY1	Q8NFH5
F1LYB7	Q6PFE3	P46100
Q8K593	A0A0R3P9D0
P13372	Q9UKI3
Q9H9V9	Q6AYK2	Q9ERI5
Q7TNZ5	Q9D8T3	Q8TAI7
Q8NEG4	D3ZRK0	Q148V8
D3Z957	B9EHK7	P09017
Q9NUN5	Q6AZ61	Q8K0B2
P98155	G3V928	P35951
Q8TB45	D3KR63	Q570Y9
Q9CQX2	Q2LAM0	Q7L5A8
F1LX07	P48962	Q6NUK1
P97452	Q562C2	Q14137
O55100	O54980	O43759
A2A863	P18564
O35166	O35165	O14653
A0A0G2K4K6	H3BJF7	Q3B7T1
Q91ZH7	Q8WU67	Q5RK23
Q9D6F8	P35754
Q7Z407	Q8K480	F1LNU2
G3V8D4	P02655
O08930	P11465
B7U582	Q53FC7
O09112	Q64346	Q9BY84
O89029	F1M957	Q5GFL6
Q9ESN9	M0R3X3	Q9HCE6
B1WC69	Q9CZ57
Q6NXK9	Q9NR34
P19634	Q61165	G3V9Y4
F1LRP7	Q9UKV8	Q8CDG1
Q99JT9	Q562C9	Q9BV57
Q78ZR5	Q8R1H0	Q9BPY8
O35206	P39059
Q7TMG8	O75323	G3V728
Q80TK0	Q9UPP5
Q5BJN2	A2CG49	P53355
Q9H3M0	D4AD66	Q8CFS6
Q9D8N1	Q4V7A5	Q96F05
P08025	P09535	P05019
Q9JIZ5	D3ZJT6	Q01664
Q3V3I5	Q0P5P2
P06744	Q6P6V0	P06745
Q5FWS4	Q8VEC4
Q9DC41	Q96IS6
Q9DCD0	P52209
Q9R1P3	P40307	P20618
Q03405	M0R3P2	P35456
P14061	P51656	P29147
D3ZDN4	Q8CE93
Q5U623	Q5XIL7	Q7TT18
F6VPT9	P26342	Q03167
Q9NZC4	Q5XIT5	Q9JHC9
Q05CH4	Q924V4	Q8BPX9
Q9Y462	D3ZHB2	E9PUP8
Q99LY9	O43920
Q9UPW8	Q9Z1X1	Q5RJH2
D3ZM09	P49591
Q96NR8	O88876	A0A0G2K1R4
Q8BYY7	O60841
Q7TQJ1	Q9BSK0
Q6ZQ08	G3V7M0	A5YKK6
F1M473	Q3TY60	Q96AQ9
Q3UA16	Q5M856	Q9HBM1
Q8VBT9	F1LR71	Q9BZV1
P54274	D3ZJF7	O35144
G3V7A2	Q9D0N8
Q99JB4	D3W0D1
Q61018	P04899
Q8K439	O95125
P84095	Q9Z1Y0	P84096
Q9Y6K0	Q80TA1
Q3TGW2	Q5XI74	Q7L9B9
Q96QT4	E9PTA2	Q91YD4
Q8BGR8	A0A0H2UHD3	Q9P0R6
O15457	F1LQM8	P54276
E9PUQ3	Q6ZUT1
Q6P3B2	Q8TB05
Q9Y2A7	F1LSM5	Q8BVQ3
Q01484	O89019	Q9EQG6
A0A0G2JUA5	Q9BXM0	E9Q616
F1M9B7	Q9DAQ9	Q7Z5L4
Q7TQA3	A0PJE2
Q96BR5	D4AC65	Q921H9
Q8K4J6	Q8IZQ8
E0CX23	C9J7I0
Q9CPV3	Q9Y6G3
Q3KRC3	P14576	Q6IAX9
Q02242	Q15116
P43628	P97484	M0R8A3
Q64329	Q9NZS2
O08718	P70447	Q92886
Q8VCZ9	A0A0G2K2S1
Q9P2D8	D3ZSV8	Q0KK59
Q8VCR3	D4A7K0	Q9NWH2
Q80Y83	O14640
Q9GZQ8	P60522	Q9CQV6
F1LM87	Q8CJ91	Q9H2X3
Q8NEJ9	D3ZBL3	Q9DB96
Q9JI51	O88384
B1ARD6	Q6IEE8
Q9D753	D4AE98	Q96B26
D3ZA65	Q6PB82	Q9UKI8
O70460	D3ZI84	Q99731
A0JLT9	G5E866
A0A0J9YTR2	Q69YL0
Q86T65	A0A0G2JZ38	Q9Z207
P09758	O55159	Q99JW5
Q91VN7	Q14582
P18525	Q9UL92
P40121	B5DFA0	Q91YD6
Q96AW5	Q66H61	Q8CGC7
Q9NYG5	D3ZXH8	Q9CPX9
Q9WVL7	Q99ME0	P42830
Q8R0F3	Q8NBJ7
Q96EV8	Q5M834	Q91WZ8
Q8NFN8	A0A0A0MXV8	Q80T41
Q5PQT3	E9Q5L8
P19637	Q9QWK4	P56730
Q7TT42	P08861
Q6NZH9	Q62768
Q9CR76	Q96B77
Q6GQU2	Q6DKY8	Q96CT2
Q9UIJ5	Q2TGJ4
Q8C8M1	Q9NP50
Q8K094	D3ZET1	Q8N126
P15941	B2GV31	A0A0R4J0H1
Q5XJW2	Q9CR59	Q8TAE8
O15169	O88566	A0A0G2K4L4
P00884	Q6NY00
Q9QUI1	Q566R4	Q8N5H3
O89107	O55070	Q92874
Q80TS7	A0A0G2JU85	O94850
Q6P8I7	Q96HY7
A0A0G2JX61	Q9Y5L3	Q8BFW6
P41155	Q06643
Q8BFQ8	Q8NB37
Q9WV03	Q14320
P67778	Q99623
A6H6A9	Q5R372	D3ZXM4
Q99N43	Q16609
P25789	P18420	Q3TUI9
P0C6T3	Q8TB68
P25286	Q9Z1G4	Q93050
Q9D7L8	D3ZD96	Q6UXZ0
D4A3K7	A2AKB4
M0RCH9	A2APF4	O15165
Q96HH0	D3ZKA2	D3Z4M6
P20607	P08505	P05231
Q9Z2S7	O75157
Q9EPA7	F1LPZ7	Q9HAN9
Q8CGC6	Q9NW13	D3ZHU8
Q13217	A0A0G2K435	Q9QYI3
O35878	Q99PR8	Q16082
O00472	Q80VR2	F1LSH1
Q4V8N6	Q9Y6L6
O88697	F1M7M4
Q6AYU4	A0A0R4J0H9	Q9GZT9
Q8K4M9	Q9BZF3	Q8BX94
P47879	P22692	A0A0G2K4Q9
Q13232	G3V816	Q9WV85
P35218	Q66HG6	Q9QZA0
A6H697	P0C5J9
Q9Y2H9	Q810W7	Q9R1L5
Q13115	B4F7B7	Q9JLY7
Q9NRB3	O54702
Q62230	Q08ET2
Q7TNJ0	Q9H295
D4AD33	Q9BTL3
O88569	I6L957	F1LNF1
Q96K62	D4A1A3	Q9Z0G7
D3ZMA2	Q8VEL2	Q8NCE2
A0A096MIY3	P56581	Q13569
Q6P9B9	D3ZTW1	Q8CHT3
Q9R0X5	A5PLK7
P30280	P30279	Q5U321
F1LQW5	O43490
E5FYH1	Q8N9V7
Q923D2	B5DF65	P30043
M0R729	Q9D548	Q8WW36
Q9P2E9	D4A4Z9
Q86W26	M0R4T2
Q96BY6	D3ZZW1	Q8BUR4
P27708	P11725	D4A8A0
G3V918	Q64737	P22102
Q9WTP2	Q5HZA2	Q9C004
P0C6F1	Q9UFH2
Q62407	F1LYL8
D3ZNW1	Q8C9M8	Q96JS3
P97799	Q8IZ57
Q148R4	Q9NQ38
P70161	Q15238
P61028	P35280	P61006
Q9QYN5	Q9Z0H7	O95999
Q99KH8	Q7L7X3
Q9DCY0	D3ZHY4	Q6IB77
H3BLH0	D3Z9Z9	P51531
Q9QXC6	P07320	P14881
Q14344	G3V6Q6	Q9DC51
Q05D60	Q4KLY0	Q3UPP8
P55199	Q6P6T5	Q3UZP0
O60479	D4A7E7	Q07424
Q9NQV8	D4A123	B2RU90
Q9R0N8	P70611
Q8BSM5	F1LSR2	Q9UQC2
A0A0U1RP63	Q67EV2	O76036
Q99PM3	Q641W8
Q8WXD0	Q6R6I7	P20395
O60884	P63037	Q6TUG0
Q8K1J5	Q6IQ49	Q4KLI7
P11473	Q62755	Q60644
Q5FVL6	Q9D8C2	O95857
Q8VDP6	P70500	O14735
Q78J03	Q4FZX5	Q9Y3D2
Q9JJV1	Q8CGQ0	P53672
D7PDD4	Q6MG59	O95866
Q9D5D8	Q9Y6F8
O08725	O43193	Q99P50
D3ZD59	Q3U034
P83731	P83732	Q8BP67
Q8WVX9	Q66H50	Q922J9
Q7RTX7	D4A0V7	Q91ZR5
P30658	M0RAR7
Q96SL4	D3ZQI1	Q99LJ6
Q9CXL7	Q6UX34
O14647	Q9JIX5	Q09XV5
Q9R164	Q12901
P56213	P55789
Q16445	A2AMW3	A0A0G2JSH7
Q8K258	Q96K97
Q9C0H9	M0R5H1	B1AQX6
Q9WUZ5	A0A096MIZ5	P19237
Q6NUN0	D3ZZN3	Q9QXG4
P84102	A0A096MK48	O75920
O88661	O88970
Q16849	P18052	A5I9F0
D3ZZ09	A0A2I3BPM3	A8MV65
Q7TNL0	M0QWR7	O14625
P83882	P83881
Q99K01	Q6P996
Q810L4	Q5U2V9	Q9GZU3
Q7TMJ8	A0A0G2K9Y4	Q96FE7
Q9D9K8	D3ZLI2	Q8N6M8
D3ZYI4	Q6ZWX0	Q9Y284
A2AE18	P17024
Q9CPX5	Q9UL19
Q8NCW6	Q3T1J4	Q8BVG5
Q61897	Q8N1A0
Q61327	P23978
Q811C2	F1M3M0	Q96DT6
Q9CZN8	O00519
G3V6F7	P47708	Q9HCH5
Q8C7Q4	B2R7W4
Q64458	Q16678
B2GUV0	Q59F87	Q6DFZ1
M0R4V4	Q9CR58	Q6KCM7
Q91Y08	Q9Y5F0
D3ZY35	Q9DA69	Q96FT9
P01636	P01619
Q8N8R7	Q5FVK8	Q8BIX3
Q5VU62	P58774	Q63583
Q8BSN9	Q5M9G9	Q53R41
P19468	P97494	P48506
Q5JVF3	F1MAF5	Q8BFV2
Q9Z110	P54886
Q3TPE9	A0A0G2K8N6	Q8IV38
Q6PGH0	Q68FV8	Q8WUN7
Q68G39	Q9JHU3	P49336
O55022	P70580	O00264
O54910	Q5U342	Q00653
A0A087WPA0	Q9BQE6
Q86UP0	P55850	D3ZFQ5
P50458	G3V9E7	O88609
Q91VL2	A2AJT9
O95096	G3V8T2
Q08116	P97844	Q9JL25
O54991	A0A0H2UHL3
Q5U406	Q9UJL9
A0A0R4J293	P22735	A0A0G2K142
Q5SZK8	Q00657
Q80UM3	Q6N069
Q96IW2	B0BN15	Q8BSD5
P11055	Q9QZV8	Q9JHR4
Q9Y4B5	D4A5D4	Q3UHU5
P14408	A0A0S2Z408
Q8BK29	M0RBK1	Q14558
B2GUY9	O35738	Q9Y4X4
Q923F1	Q6P9X1	P54105
F7BGR7	B2R8Z8
Q9UNK0	Q9Z2Q7	O88983
D3ZH12	Q9D6T0	Q9Y314
Q9NS40	F1LRY7
O14490	P97838	Q8K4R9
O94812	F1LVS1	S4R1E7
Q8CHB9	O14964
Q969N2	D4A604	Q8BXQ2
O88495	B7X945	Q96P65
Q9WUP8	A2ARA8
H3BJQ9	F1M048
Q8TBB1	P70175	F1LMX8
A0A0G2K437	D3Z1Y1	Q9UKV5
P12658	P07171	O76038
P38649	Q3L7M0	P16442
Q9JHI3	Q86UG4
Q9WTQ2	Q9R0M4	O00592
Q9NR56	F2Z3T4	Q8C181
Q9JLY0	A0A0G2K9S1	O14544
F1LNW6	Q9WUC3	O94772
D4A9W0	Q9R002	P41218
P20181	P23363	P34130
D3ZVF3	Q9UBF8	P42337
A0A1L1SSF2	G3V784	Q9BRR6
G3V966	Q9NYW3	P59530
Q80TY0	F1LZF2
O94966	B2GUZ1	Q8K387
P54001	Q8BG58	P13674
Q4V8B1	Q8CH36	Q495N2
D4A082	P70259	P51810
P17425	Q8JZK9	Q01581
Q8R5L1	O35796	A8K651
Q3TXU5	Q6AY53	P49366
Q6MFY9	Q923T7	Q9C029
Q9C0J9	O35185
Q8BI22	Q6ZU80
O89084	P54748	O00408
Q9C0C2	P58871
Q16832	Q62371	Q63604
Q1RLL7	A6NEW6
D3ZAW2	Q9UG56
Q86Y13	D3ZSP7	G5E8T2
A6NDB9	D4A1J3	A2TJV2
A0A0G2JTG7	O35737	Q6NXG1
F1LNY6	B9EJX5	Q6P1X5
Q5BJV6	Q8C1C8	Q96BY2
O70566	A0A0G2JXC2	O60879
B2GV39	Q812F8	Q9UQ53
Q9QYK9	Q6P2M8
P15975	Q70EK8
Q9UPZ3	D4A6U4	P59438
Q9CQY6	Q9BRT2
Q64127	Q05835	F1M589
P35737	P18464
Q9Y5G4	A0A140LI48	M0RC89
P98170	A2AWP0	F7FLN8
Q8C6G3	P07998
P58749	Q9BZW5
P08932	O08677	O76096
Q2TAY7	Q9D7H2	D4A7J8
P42771	A0A0H2UHI6	Q60773
Q10472	Q10473	Q8BGT9
Q5XIE6	Q8BH95	Q8N8U2
Q96RI1	Q9Z0Y9	Q402C1
Q5XI43	Q9DBV4
B1AXH1	Q5SYE7
O35075	B1WBS4	Q4G0F5
Q96LZ3	Q56A29	Q3TVC0
Q9CQ07	D3ZZY5	Q7Z344
P17600	Q8JZP2
Q5VVJ2	A0A0G2K9D6	P97496
Q4G079	P54577	F6VXZ2
Q9UBR4	Q8BZL8	M0R4L0
Q792Z0	P0CW18
Q6X6Z7	Q4V8G8
Q5XII4	P58468	Q9NSI2
Q505H4	D4A0X1	B2RUY7
F1M2K4	Q811L6
Q8VCN5	P32929
B4F779	B2RQE8	Q8NEU8
D3ZZV0	Q8BV57	P21757
Q9C0E4	Q91XL2	Q9WTW1
