Q8BRM8	Q9ULW5
Q6WVG3	Q68DU8
Q8R4W6	M0RD26	Q9UKZ9
Q9QYT7	Q642B8	Q9BRB3
Q12778	G3V7R4	Q9R1E0
D3YWW5	Q7L3V2
F1LQM8	A0A087WQ16	P20585
Q9CQV4	B2GV94	Q86VR2
Q63448	Q9D7B6
D4ABZ5	P56282
Q8IZA0	F1M4J1	Q8K135
Q8N3Y1	A0A0G2JUJ2	Q9WVB3
Q80V76	B5DFG8	Q9BRQ0
Q9CQX5	G3V674	Q9NY35
Q8VCI5	P40855
D3Z902	Q8VBV4	Q969H0
G3V7S5	Q9EP97
Q96N46	D3ZM05	G3X9T5
P04355	P02795
Q5FVE4	A1L1K7	Q2XU92
Q7TPG8	Q7Z5A9
Q96P16	D4AAU4	Q8VDS4
P70318	Q5BJN3	Q01085
P61161	Q5M7U6	P61160
Q8BHM7	Q16384
D4ABT4	Q9UHB4
P47863	A0A0R4J0Z3	P55087
Q3V1I0	Q86SG7
P35281	Q6FIG4
Q99MH3	P81172
P00756	P20718
D3ZYF6	O60290
Q5PQL1	Q5F2A3	O75888
Q9D823	P61927
A0A0N4SW31	A0A0U1RRL7
D3ZI38	Q80TC6	Q9P217
Q31142	P03989
O60637	Q66H06	Q9QY33
Q64310	O15260
Q91V98	Q9HCU0
Q5RJZ1	Q0VGM9
Q9DCJ7	Q9NWT8
D3Z9A4	Q9BXV9
D3ZRW5	Q9CUV1
P15037	D4AAH4	P15036
F7BGR7	B2R8Z8
Q80T91	A6BM72
Q9BT56	M0R8L2	D3Z752
Q3TVR4	A4QPB2
Q8VC42	Q5PPI8	Q96DM3
F1LQT0	A2ALW5
Q80SY9	Q96MN2
A0A0G2JSI8	Q9BZG7
A0A0G2JSP4	Q8VEI3	O43820
Q63041	P01029	P20742
Q8BJW6	D3ZUV3	Q9BY44
P13383	Q6IQ30
Q9CQ52	P08218
Q3UM57	Q8IW40
Q8QZX0	Q52WX2
Q9D1S3	P61246
P08607	A0A5C5	P20851
D3ZXD2	Q7TMS5
D3ZD46	Q99J87	Q96C10
J9JI28	Q502W6
F1M975	Q923D1
Q7TPV2	D4A1V8	Q86Y13
A0A1Y7VJX7	P01854
Q9JHZ9	Q9DCP2	Q99624
O55143	P11507	P16615
E9PY43	Q86X53
D3ZCF7	A0A0R4J0A9
Q9QZR9	P53420
E9Q0B4	Q8TEN0
Q0VGT4	Q86YA3
Q91ZI8	P55073
P68400	Q60737	P19139
Q66PJ3	Q4V8I5	Q9JM93
Q8CJ00	F1LYA6	Q9NYB9
G3V8D4	P02655
D4ABU0	Q8VCD5	Q9NVC6
O54769	Q9ESL8	O43320
Q9D8L4	P01877
Q99KW3	A0A0G2K1P8	Q9H2D6
Q8BPG6	D3ZTR4	Q8NBJ7
Q16553	Q6AY73	A0A087WPY4
Q8WZA1	Q5XIN7	Q91X88
Q8BMF3	F1M5N4	Q16798
P97839	Q8K4R9
Q91W19	Q6IMI6
Q8BXQ3	Q9HBL6
D3ZBF0	Q9Y3N9
Q8NDD8	Q5YB86	Q9CUN6
Q5U305	Q9CQM2	P33947
Q13889	Q561R7	Q8VD76
P26794	Q6P4S6	P11309
Q5PPM8	Q3TWL2	Q86T03
Q99PF3	Q59H13
P97291	A0A0G2K2C1	P55286
A0A0H2UHE2	P25085	P18510
O35314	P16014	P05060
E9Q793	F1LZA7	Q6NUN7
P62137	P62138	P62136
Q8R0W0	P58107
Q9NS00	Q9JJ05	Q9JJ06
P12841	P01101	P01100
Q4FZU0	Q8BP40	Q9NPH0
Q96LR7	D4A5F3	A0A087WQY2
P04939	P09466
Q6ZSC3	F1LRJ4	Q99J64
Q13361	D3ZJB1	Q9QZJ6
Q13585	P15823
P06320	P01619
Q9CQE3	Q9Y2R5
P51798	P51799	O70496
Q9QZF3	Q96C55
Q62812	P70248	O00160
D4ACL8	Q62388	Q13315
Q6AXP6	Q80W99
Q62507	B1H259	O43405
P18825	P22086	Q925K7
A0A0B4J1E4	O43194
Q62803	P48794
Q5U2Z8	Q9JLJ5	Q9BW60
E9Q2T4	Q15053
Q8R311	Q86UF2
Q8R3A2	Q6NVV7
O35228	M0RD76	Q14213
Q9WUA6	Q9Y243	A0A0G2JXD7
P22681	P22682	D3ZV15
Q99N18	P24462
Q8CFE5	A0A0G2K9E3	Q9P203
E9PVA0	A0A0G2K4A2	Q8NGN1
Q8VC03	Q32P44
Q61666	P54198
F1LMV8	P16054	Q02156
Q8CEE7	D3ZFR9	Q8NBN7
Q9Y6K1	Q1LZ53	O88508
Q3TH77	A8K394
Q9D305	D3ZAX9	Q9H0W7
O08674	Q9UBG7
I6L963	Q6ZU80
Q92930	P61028
Q9BX74	D3ZYF8	Q99MB3
Q3TR20	P83436
P97469	O08954	O43623
Q9R1S0	Q9UPM9
A0A0G2K047	Q14DH7
P30273	P20411	P20491
O78207	O19691
Q9WU21	Q8VC73
Q8BGF6	Q8IZ81
Q5I034	A0A0R4J099
Q9EP80	Q62083
P83556	P43632
M0R9J6	Q9CRW3
A0A0G2K288	P80205	P32242
Q9TQA6	O78196	Q30154
P01590	P26897	P01589
Q4LDG9	A0A096MJZ0	Q05A62
Q8K3F3	Q62084
Q8VDW4	Q96B02
Q9JLB4	F1LNU2	O60494
P97823	O75608
Q12873	F1LPP8	B1AR17
D4A1P7	A2AG06
Q5BK30	D3Z7A5	Q8N136
P46101	Q8R097
P01789	Q9UL80
P46092	D3ZJH1	Q9JL21
Q15070	D3ZRH1	Q8BGA9
Q3V0M2	Q1X8D7
Q8TD19	A0A0G2K8N9	Q8K1R7
Q71DI1	Q9GZZ8
D3ZW90	Q9CTN4	O94955
P28646	P30872	P30873
P14316	Q0PXQ8	P23906
G3V7A2	Q9D0N8
E9Q3R6	Q14929
Q05D44	A8K900
Q3TYS2	Q6AYA6	Q9BQA9
Q99PT3	Q9C086
O60476	D3ZR49	P39098
Q3V2E0	Q8NHM4
P60202	P60203	P60201
F1LQZ9	Q7TSJ2	Q96JE9
P14152	O88989	P40925
P67871	P67874	P67870
Q99JW2	B4DNW0
Q99MA2	B1AVD1
M0RBF8	O35382	Q96A65
Q9HBB8	Q9JIK1	Q8VHF2
Q9Y673	Q4QQS6	Q9DB25
D3ZKI5	B2RQG2	Q92576
M0RDM1	Q9ER74	Q9UJQ4
Q12837	Q63262	Q63934
D3ZNY8	Q01974	Q8C3W2
Q9EQS3	Q99417
Q68FX5	Q91XA5	Q13487
Q91Y10	Q9Y5F1
Q9H9F9	D3ZAQ1	A0A0A0MQ89
A0A0G2K3P2	Q0P5X5	A8MT70
Q96HR8	A0A0G2K5K8
Q8VDR7	O95455
Q8R0J1	D4ABR1	Q3KR16
P15259	P16290	O70250
P01723	P01780
Q9D7S7	Q6P5R6
Q3ULG3	Q8NEQ6
D3ZSX8	Q8CID0	Q9H8E8
Q14BN8	D3ZAT3	Q9UIY3
Q9WUI0	Q9H2W2
Q64389	P31358
A2A7Y5	Q5JXC2
O35425	Q792S6	Q9UMX3
Q2NL67	G3V9P8	G5E856
P70224	Q8NHV1
Q9BYG5	A0A0G2JUC3
Q9DA16	Q6UXV1
A0A087WRI3	Q6ZQR2
P97465	Q4QQV2	Q99704
Q9H115	F8WFM2	P28663
Q99LC8	P49770
Q4QQT4	Q7TNP2
P13807	A2RRU1	Q9Z1E4
Q9HCE6	M0RBM9	A2AWP8
P82909	M0R776	Q9CQX8
D4AE08	Q80ZQ9	Q9NX38
Q61584	A0A0G2JWD2	P51114
Q19LI2	P04217
P08424	P06281	P00797
Q14714	D4ABT9	Q3TRE0
Q5I0N0	Q9CTW2
Q9WTL2	B5DEP2	P57735
A2ANU3	Q58DZ9	Q9H7V2
P28704	A0A0G2QBZ5	P28702
P58044	Q9BXS1
O55074	O43687
Q8K3D3	Q1ZZU3
Q8VHW4	Q8VHW8	Q9UF02
B3STU3	Q8R3J5	Q9BUX1
P37235	P62168	P62748
E9QP44	A0A0G2K7I9	Q8WZ64
Q568Y2	Q9CR25	Q9BQC3
Q9D0B8	Q6AYL4	Q8N443
Q5XFW8	Q9D1M0	P55735
Q5M9F7	Q9QZB7	Q9NZ32
Q09PK2	Q53RT3
A2AQA1	Q7L2R6
Q8BI08	Q969L2
P98088	A0A0G2K8X5	E9PWB6
P30285	P35426	P11802
A0A0R4J0U3	O15055
D4ACJ3	Q5RJH6	Q92540
Q96C24	P29101	Q9R0Q1
Q8K386	Q96E17
M0R5V4	Q8BRH3
E9Q395	Q9TNN7
Q70KF4	Q8N3K9
E9QAP1	A0A0S2Z6P0
F1LT94	A0A286YDI4	O15085
P56389	P32320
B1WC80	Q8CEZ4
Q80VN0	D3ZEI2	Q494V2
Q5M969	Q8TBE9
D3ZTM4	Q9CZ05	Q9ULK2
Q61045	Q5SZK8	A0A0G2K1T7
P05412	P05627	P17325
F1MAJ8	Q62511
P50228	P80162
Q6B959	E9Q0X2	Q96LR9
P31371	P36364	P54130
G3V7K1	O70468	P52179
Q921D9	A0A0G2JTY1	Q9NZI5
Q9D1T5	A0JPP6	Q8IV56
P01946	Q6B0K9
Q9QZ09	F1M8G0	Q9UMS5
P78395	D3ZD67	Q810Y9
Q9QZU3	P40197
D3Z9I1	Q9D2R6	Q9Y2R0
Q9R0M0	Q96QU1
O70418	Q96DY5
Q99P91	Q6P7C7	Q14956
Q9NRD8	A2AQ99	G3V8A3
Q8BTS9	B4DZC0
Q99N43	Q16609
Q96DD7	A0MV40	Q8CA71
D3ZDC7	A2A8R0	O95405
Q9WVJ2	B0BN93	Q9UNM6
P18089	P19328	P30545
D3YZL7	F1LZB7	Q9Y2L6
Q9QUI1	Q566R4	Q8N5H3
Q8TC21	F1LWS7	Q8R2M7
Q80YW5	Q6P6S3	Q309B1
Q3U3T8	Q9UFV9
Q9Z2J0	Q9WTW7	Q9UHI7
P21460	P14841	P01034
G3V6F8	E9QL10	O60602
Q9D485	D3ZKF6	Q5JST6
O88953	G5E8S8
Q921U8	P53814
Q08170	G3V798	Q542V3
Q9Y3S2	D3ZSN4	Q922H9
P12790	Q16696
Q9R226	F1LMN8	O75525
P28907	Q64244	P56528
A2AMS3	A0A0S2Z4I0
B2GUU0	Q9CS00	Q8WUQ7
Q9QYJ0	Q5M9H7	O60884
Q68FT6	Q02161
G3V8X3	Q64124	Q96NK8
Q9Y337	D3ZRA7	Q9D140
Q9ES56	A0A0G2JSL2	Q9Y296
Q99075	Q06175	Q06186
Q96MM7	D3ZEK5	Q80UW0
D3Z286	Q6ZT21
P04213	P04437
Q9QY15	Q9UHL0
Q9JJA7	Q5I0H5	Q96S94
Q8R422	D4A447	Q6YHK3
Q8BQU3	Q6TUF2	Q9NRP4
Q9H492	Q6XVN8	Q91VR7
Q9HB19	Q9ERS5	F1LXA9
Q99ME3	O70511
F1M888	Q8C0Q9	Q92565
O14617	B5DFK6	O54774
Q5FWI3	A0A0G2JZA7	Q9UHN6
P62902	B2R4C1
Q15048	Q569B5	Q8VC16
E9PTY0	E9Q8Q7	Q9C099
Q9Y221	Q9WV50	Q9CXK8
Q3UHH2	Q9QZG1	A1A5C7
O35594	D4A562	Q8WYA0
P07308	Q86SK9
A0A0N4SUH4	Q15397
A2RST1	A0A0G2JU12	Q99735
A0A0G2JYV3	Q64368	Q92904
P12850	Q5PPP2
F1M947	A2AJP5	Q5HYA8
F1LWQ2	P25446	P25445
D3ZJ05	Q8CGN8	Q96PI1
P37268	Q02769	P53798
P51690	Q8BM89
D3ZQG8	Q922S8	Q99661
D3ZVK4	Q9D112	Q8IYI0
O55236	D3ZH30	O60942
Q8R1K4	Q8IUZ5
Q9Y6M4	A0A0A0MXY3	Q8C4X2
O43464	B0BNB9	Q9JIY5
A0A0G2JSJ6	Q8BRU6	Q05940
A0A140LI67	F1MAD2	Q68DX3
Q96QT4	A0A0G2JYN5	Q923J1
Q8NA58	A0A096UWG8	B2RXZ1
P51398	F7EZZ0	Q9ER88
P19493	Q8BRT2
Q8N0T1	D3ZXR6	Q0VG62
Q3U2X6	D4ACM6	Q8N8D1
Q07020	A0A0H2UHS7	P35980
A6H6A9	D3ZKH6
Q8K5B8	P31277
Q15438	B2GUV0	Q9QX11
Q5SXM2	D4A3C9	Q8BP86
Q80WE6	P41274	P41273
Q6PGD0	B2RYU3	Q6UW56
Q96FN4	F1M1L9	P59108
E9Q6B2	A6NKD9
Q7L2H7	D3ZAZ0	Q99JX4
Q08761	M0R5R0	P07225
D4QGC2	Q96JK9
Q8N163	F1LM55	Q8VDP4
A2BE91	A0A0G2QC64	Q96EX3
Q6MG63	Q9CY86	Q5SSQ6
P01237	Q9CPQ2
Q8C436	Q9H867
Q9Y678	D3ZX21	Q9QZE5
Q6P8K5	O60224
Q91YX5	Q92604
P62966	P62965	P29762
P52946	P52947	P52945
Q9CQ31	Q8WXH4
O60266	Q5U330	Q8VHH7
O08997	Q9WUC4	O00244
Q5RKJ7	O08989	O14807
Q8K5A4	Q92737
Q3UFM6	Q5EB95	Q96DF8
Q9UJY4	B1ATZ1	A0A0G2JV04
A0A0G2K1B0	Q6P3B9	Q8N0V3
F1M5J1	Q6SJQ7	P06312
Q9BRK0	M0R8C1	Q8VCD6
M0R9L2	O88507	P26992
E0CXQ2	D3ZMG2	P0CG20
A0A0G2KB04	Q7TNI2	Q9UK28
O54697	Q7M758
Q9D2Z4	Q5FVJ8	Q96LD8
Q5U1X1	Q9D8S4	Q9Y3B8
D4A9L9	Q9D8U3	Q96DN0
F7FDF2	Q8CI03	Q4VC44
P09925	Q15526
Q8K3A9	Q7L2J0
E9PZ54	Q5EB94	H8Y6P7
Q91V57	A0A140TAJ1	Q6IBE0
Q9DBD5	A0A0G2JSQ9	O15451
Q14973	P26435	O08705
P97534	Q9Z2I2	P68106
E9PTF3	J3QK52	Q9Y3T9
Q9R010	Q8N7B9
Q4G0S1	Q6IE07	Q792Z1
P42682	Q501W1	P42681
Q9NPG2	A0A0G2JSL1	Q9ER97
Q8JZS7	D4A5C3	Q8TB92
Q6AY64	Q9DAY5	Q7Z4R8
P02683	Q62092	P42857
P15127	Q62137	Q59EB3
B0V2N1	M0R711	Q13332
B2RY50	D3ZXG2	Q5T2S8
Q05421	A0A0G2JSR8	P10635
Q5Y5T1	E9PT74	Q5W0Z9
Q6PB44	F1M951	Q9H3S7
Q3UTH8	O43307
Q63081	Q3TML0	Q15084
Q9JJI8	P63173
D3ZAP9	Q3ULJ0	Q8N335
O35303	Q8K1M6	O00429
Q6PE87	A1A5Q4	Q8IYR0
Q8C0K5	P16260
A0A0J9YTR2	Q69YL0
Q9HCD5	D3ZEI6	Q91W39
Q9R193	Q6LEU2
P38649	B0B1U2
Q96CN9	D3ZPA1	Q9D4H2
Q8IVN3	Q80XX4	Q99JI1
G3V6C8	Q6W5C0	P19875
Q96BJ3	B1WBV1	Q8C4Q6
D3Z9I3	Q8BY35	Q7Z6J4
Q9D8Y7	Q6AYJ8	Q6P589
D4A1S8	Q9CYU6	Q9BTV6
Q9P272	D3ZQW3	Q80WQ4
D3ZWX2	A2AF53	Q8NFB2
Q60960	Q56R20	P52292
Q9DA37	Q641X0	Q86VZ5
O35683	O15239
A0A0G2JZR1	Q8BXR9	Q9BZF3
P09084	P15863
Q6VPP3	Q14CN2
Q96A72	F1M0X6	G3UZH0
P50538	Q99583
Q8IWZ5	D3ZW47	Q80VI1
O94907	D3ZN48
Q9EPT5	A0A0G2JV79	Q92959
A0A0G2JWX9	Q9D7Z6	A8K7I4
P16234	G3V9H8	E9QN12
Q6SJV7	Q53YU8	Q9NS71
Q92791	Q64375	Q8K2B0
D4A4M0	Q3UH99
Q8BG84	Q6GTX8
Q8R2R9	Q96PC3
P01849	P01848
Q9DC49	Q9BSW5
Q9Z1Y9	A0A0G2JZJ0	Q92813
Q61127	D4A4F4
Q2AC31	Q7TMA4
A2AD83	Q6ZUT3
Q8NCX0	F1M7H6	Q8CDI7
P28740	F1M8L1	O00139
D3ZU86	Q9D6J1	Q9HA82
G3UVW3	F1LRY2	Q8IZM9
P20764	Q68CN4
P50454	Q6P9U0	P19324
Q8CHR9	D3ZRH4	Q8WWB5
A0A0H2UHR6	O88947	P00742
Q0VB07	Q96LB8
Q3UKU1	F1LSH1	O00472
Q9NSE2	B1WBX9	Q62225
P0C2N5	Q3U8K7	Q4FZB7
Q8C0D9	G3V6M0
P00375	Q920D2	P00374
P24604	E9PT20	A9UF07
O35796	O35658	Q07021
Q8TD30	Q7TP13	Q8BGT5
B0BN78	Q9R1C0	Q15545
Q8NI27	F1M0V4	B1AZI6
Q9DAH2	Q4V7C2	Q8WWF5
Q719I0	A0A0G2K7W5	Q8N9S3
Q7Z2E3	Q8K4H4	Q7TQC5
Q9DB00	Q9H869
Q9UN74	M0RC89	O88689
Q91V37	Q99437
Q8BQM7	A2RU48
A0A0G2JYI7	Q91VX2	Q5T6F2
F1LT49	Q505F5	Q8N1G4
A0A0R4J289	G3V8H8	P41231
Q9Z2L0	Q60932	P21796
P56565	P80511
F1LPY4	Q9R0A1	P51788
Q9R164	Q6P3V2
Q9QY02	E9Q5K9	Q96MU7
A7DTG3	A0A0G2K6W8	Q9NUC0
P17095	P17096
P01843	P0CG04
Q16773	G3V827	Q8BTY1
Q923B1	B2RYJ2	Q9UK59
Q9WUN8	Q6XYB7
O35103	Q99983
Q80V42	D4A9Q5	P14384
Q9NRF8	Q5U2N0	P70303
M0RBD3	M0QW59	Q6VAB6
O54902	P41251
P15104	P09606	P15105
Q9CQF8	Q9BQC6
Q8N5Z5	D3ZYQ0	E0CYD2
P22724	Q93097
B2RYG4	G3X8R1	Q9Y664
Q9D8G5	Q68AX7	Q9BYZ8
Q9Z185	G3V6Y0	Q9ULC6
Q8CHP5	Q9BRP8
D3ZBB3	Q9JJG6
P47897	Q5M7W7	Q8CGC7
P10148	P13500
P51156	Q504M8	O95716
Q9P2N7	F1LM44	Q80TF4
Q80U23	B5DF41	O15079
J3QPC3	F1M597	Q5BKX5
Q91Z98	Q12889
Q8R1C0	A0A0G2JTV8	Q03721
P18848	Q9ES19	Q61328
Q5EBG8	D4A7G9	Q9BV19
A2AJA9	D3ZTF0	Q4VC12
Q9UQ90	Q925S8	Q3ULF4
P22057	P11588	Q9NPH6
D3ZDG6	Q9R1R0	Q9UPM6
P15920	Q2I6B5	Q9Y487
G3V862	Q9R045	Q9UKU9
Q3MKP9	Q9CWT2	Q9NWD9
Q9Z2H4	A2ARI4	Q9BXB1
O94819	D4A5J1	Q8BNW9
P21964	P22734	O88587
P61971	P61972	P61970
P03987	B9A064
G3V799	Q8BPS4	Q86V85
Q9D6W7	D3ZGM0	Q6UWJ8
Q00403	A0A0G2JWZ8	P62915
Q9DCT8	D4ACX1	P52943
Q9D1C8	A0A0H2UHM0	Q9UK41
F1LTW9	Q6ZQ18	Q9Y2G0
P0DP57	D4A6F2	P0DP60
Q02384	Q9QYV3	Q07890
P46777	P09895	P47962
P56261	Q6PZD9	Q15744
Q3U0B3	G3V978	Q6UWP2
P00747	P20918
P52503	O75380
Q6ZWZ2	B2RZ96	Q712K3
Q6PDY2	Q96SZ5
Q5RJI5	Q8TDC3
Q5RJT0	Q922M7	Q9BVC5
Q6IMX7	Q99P31	Q9NZL4
Q92544	Q4KLL4	Q8BH24
Q6UX06	D3ZMI6	Q3UZZ4
Q6NUQ4	A1L1L2	Q8BM55
Q6MGC4	Q03958	O15212
Q9WV32	O88656	O15143
F1LPT8	Q6DID3	Q9UPN6
O54772	Q99JR8	Q92925
P01900	P13747
Q9DAV9	Q68FV1	Q9NVV0
D4AAT5	Q8R2S1	Q9Y6S9
A0A0G2K6S9	P35749
Q5T2D3	D4A7M3	B1AZ99
Q8BHE4	F1M8M1	Q6UXF1
P84039	Q9EQG7
Q9Z0V8	Q99595
G3X9Q6	Q71RC2
Q8VDQ1	Q5BK81	G3V3Y1
Q9Y3D6	P84817	Q9CQ92
P56545	Q9EQH5	P56546
O75618	Q9Z2K0	Q9Z1L3
Q60935	D3ZJK0	P52961
P02089	P68871
Q8BQS4	F1M2P6	Q5T8I3
Q8BGV7	Q7TQ24	Q8WZ19
Q9QZR8	Q80VC8
Q5FWU0	A0A0J9YY34
Q9H813	Q66H28	Q9D771
A0A0G2JTA1	Q61151	Q16537
Q6MGB2	P13942
O35821	Q7TPV4	Q9BQG0
Q642C0	Q6NZB0
Q8VIK1	D3ZE11	Q9BV90
A0A0R4J0R1	P70280	Q9WUF4
M0RCA8	A0A140LHD2	Q6ZNF0
A0A0G2JY08	Q9JMH9	P12821
Q71HP2	Q6PB60	Q6PI77
Z4YNF4	Q9D358	P24666
Q8BV13	D3ZU52	Q9H9Q2
E9Q1U6	O43310
Q9BXN2	B5BUZ1	Q6QLQ4
A0A0G2JU36	Q8R2Q8	Q10589
Q6IBS0	B0BMY7	Q9Z0P5
Q15131	F1LSV8	Q3UMM4
Q8N283	D3ZHR4	E9Q9D8
D3ZFS3	Q7TQG0	O15062
M0R4J2	Q9QY30	O95342
Q16518	O70276	Q91ZQ5
Q4KLF8	Q9CPW4	O15511
Q3SY56	D3ZT88	Q9ESX2
Q6STE5	Q5U3Y2	Q6P9Z1
Q96Q83	Q5XIC8	Q8K1E6
P0C6S7	Q9QZC1
P07146	Q6GPI1
Q7TQF2	A0A1B0GWU1	Q9UK96
G3V8K9	Q9UHF5	Q8VHH8
G3V8P6	O88939	O95365
O43508	Q6AYC1	O54907
Q03526	D4A7W7	Q08881
Q8K5C8	Q7Z5J1
B5DFI5	A2A7P7	P14373
Q9DBW3	Q8N6N6
Q4Z8P1	P26323	Q01543
Q9QY83	Q4QR76	Q9Y614
A0A0G2JV56	O08545	P52797
Q9BQI7	D4ACB6	Q6P1I6
Q96KJ9	Q91Y94	Q91W29
Q63686	Q99JW7
Q8BTW9	B5DF62	O96013
P59768	M0RBJ0	P63213
Q3TQI7	A0A096MJX5	Q9NZ63
P47224	Q08326	Q91X96
Q60817	Q9BZK3
Q9HCK1	D4A582	Q5SS00
Q62504	Q9H6E5
Q9NX65	D3ZPM6	A2ARU5
Q9CUU3	O70608	Q9BX26
Q9Y5G0	F1M7D0	Q91Y00
F1LPT4	Q8C078	Q96RR4
A1A5Q1	Q8CGP6	Q9P0M6
Q69FB3	P0C881
Q9JKC1	Q03311	P06276
Q68FR7	Q6NSQ7	Q96GA3
Q3UPN1	O75023
P48284	Q8CI85
D3ZAR8	Q9CQX0	Q96DC9
Q31163	P06126
O75409	D3ZZR0	Q9CR04
P48201	Q499S2	P56384
Q9H903	D3ZUA0	D3YZG8
F7DCH5	Q8NB74
B1WC14	Q8VCZ8
A6H687	F8WC89
P82979	Q498U4	Q8VEK3
P01724	P23083
P55281	Q9R100
